,0
0,嘉美地 
1,成都新天地二期春天里 
2,三强南路一段144号 
3,万锦城 
4,中铁骑士府邸 
5,金座威尼谷 
6,中海右岸 
7,王府花园御锦苑 
8,通瑞月光湖 
9,弘民苑B区 
10,保利叶语 
11,蓝光圣菲TOWN城 
12,阳光地中海 
13,路桥二分公司宿舍 
14,尚港领地 
15,美城云庭 
16,华银美景 
17,和贵久居福 
18,蓝光长岛国际二期 
19,美好家园 
20,三里花城 
21,四季金悦 
22,威兰德小镇 
23,林业工程处宿舍 
24,花样年别样城 
25,长冶路二段32号 
26,九龙仓时代小镇1号府邸 
27,海棠湾 
28,葛洲坝紫郡兰园 
29,警馨苑 
30,国奥村 
31,蓝润华府春天 
32,宗申流溪别院 
33,巴黎都市 
34,棠湖泊林镇 
35,国栋南园贰号 
36,翰林上岛 
37,锦绣华都 
38,碧桂园海德公园 
39,祺瑞名居 
40,花样年家天下 
41,中旅名门府 
42,建阳公寓 
43,招商愉樾 
44,领寓 
45,翰林风华 
46,双华精装年 
47,蓝光长岛国际一期 
48,蜀镇锦翰园 
49,融创南湖逸家 
50,中海右岸二期 
51,佰客郡 
52,歌德堡 
53,学府新城 
54,瑞升林韵 
55,三里风物 
56,宗申赛纳维 
57,文星花园 
58,巴黎都市二期 
59,温哥华南苑 
60,千禧公寓 
61,金地悦澜道 
62,合力达卓越南城 
63,牧山园 
64,蓝光长岛国际三期 
65,佳兆业8号 
66,蓝光圣菲悦城二期 
67,贵通御苑枫景 
68,君雁优禾 
69,欧洲印象 
70,水云花都 
71,国栋南园五星城 
72,上福佳苑 
73,佳兆业8号君樾 
74,大成郡 
75,温哥华花园 
76,路桥家园 
77,丽景苑 
78,康桥品上 
79,香楠湖 
80,川大河畔 
81,兴益名苑 
82,棠湖泊林城 
83,蛟龙银座 
84,碧桂园悦府 
85,瑞丰花园 
86,东升国瑞 
87,中海云麓世家 
88,温哥华花园六期 
89,蓝润棠湖春天 
90,成都新天地 
