,0
0,中海锦江城云熙二期 
1,远光水印城 
2,蓝岸丽景 
3,远大中央公园三期 
4,合能枫丹铂麓三期 
5,成南领寓 
6,华贵苑 
7,中铁诺德·观湖轩 
8,远大中央公园 
9,奥园公园府邸 
10,向阳小区 
11,蔚蓝阁B区 
12,三利麓山城蔚然集 
13,麓府 
14,恒大天府半岛二期 
15,蓝山美树 
16,雅居乐剑桥郡 
17,华阳滨河花园 
18,万科翡翠公园 
19,万科海悦汇城东区 
20,合能枫丹铂麓二期 
21,中海锦江壹号 
22,海伦印象 
23,滨江和城 
24,欣宇都市港湾 
25,中铁卓越城一期 
26,复地御香山3悦 
27,麓岭汇 
28,优品道锦绣 
29,麓山国际拉佩维尔 
30,慕和南道 
31,戛纳湾金棕榈 
32,麓山国际茵特拉肯B区 
33,麓山国际帕萨迪纳3组 
34,中铁诺德揽湖轩 
35,中铁诺德壹号临湖轩 
36,恒大天府半岛4期 
37,天投东鑫苑云璟 
38,麓湖生态城香林堤 
39,成都玩家 
40,保利天空之城云曜 
41,德商御府天骄学府 
42,南湖世纪 
43,万达华府 
44,尚善雅舍 
45,新疆石油花园三期 
46,合能枫丹铂麓一期 
47,南阳盛世 
48,三和南庭 
49,香山半岛 
50,雅居乐十里花巷 
51,恒大天府半岛 
52,蜀南春郡 
53,阳光城半山悦 
54,蔚蓝阁A区 
55,万科公园都会北区 
56,鑫苑鑫都汇 
57,佳苑社区二期 
58,宏达世纪锦城 
59,中海锦江城云熙一期 
60,佳兆业君汇上品 
61,三利麓山城春风里 
62,中海锦江城花涧二期 
63,天府美岸 
64,中信城左岸 
65,恒大天府半岛三期 
66,北辰南湖香麓 
67,南湖半岛 
68,金茂光明城市 
69,麓湖生态城澜语溪岸 
70,三利云锦 
71,锦瑞园 
72,蜀郡又一城 
73,海伦天麓 
74,南阳锦城 
75,恒大名都 
76,南阳盛世二期 
77,南湖国际社区 
78,凯华丽景 
79,蜀郡 
80,首钢蓉璟台 
81,望江苑社区 
82,华阳花苑 
83,鑫苑鑫都汇南区 
84,中海锦江城云璟 
85,广汇御园 
86,益州国际 
87,洛森堡 
88,建发中央湾区 
89,川发天府上城 
90,天投·东鑫苑云筑 
91,麓山印象 
92,心怡中丝园 
93,新鸿基悦城 
94,万科海悦汇城西区 
95,天府滨河湾 
96,麓湖生态城浔岭 
97,蓉馨苑 
98,美城悦荣府 
99,南湖国际社区一期 
100,秦皇帝锦锦玥 
101,双兴名邸四季春天 
102,景茂城果 
103,青南美湾 
104,天府湾畔 
105,碧桂园海昌天澜 
106,中海万锦熙岸 
107,金南园 
108,保利锦江里 
109,双华麓港 
110,海伦春天 
111,家益欣城 
112,中海锦江城花涧三期 
113,福泽花苑 
114,中粮观澜祥云 
115,保利天空之城云锦 
116,府河音乐花园 
117,麓山国际悦庭 
118,远大中央公园一期 
119,三利麓山城本草荟 
120,中海天府里云岭一期 
121,中海锦江城花涧一期 
122,远大中央公园四期 
123,古城小区南苑 
124,古城小区·西苑 
125,南阳锦城晶品 
126,和韵小区 
127,瑞升橡树林华府 
128,麓云 
129,御景台 
130,正东上街94号 
131,天投北鑫苑 
132,左岸花都 
133,怡瑞苑 
134,宏信南樾 
135,鸿阁新座 
136,欧香小镇 
137,地源吾舍 
138,雅居乐花园 
139,石油广都小区 
140,黄金海岸 
141,德商御府天骄 
142,麓山国际帕萨迪纳2组 
143,麓山国际茵特拉肯A 
144,万科保利翡翠和悦 
145,金华壹号 
146,南阳锦城四期 
147,麓山国际云曦台 
148,华阳教师苑 
149,麓山国际SOLO公寓 
150,融创NANO公馆 
151,卡地亚花园城蔚蓝轩B区 
152,万科君望府A区 
153,三利麓山城春风里B 
154,麓湖半山二期 
155,麓山国际悦林湖 
156,麓湖半山一期 
157,兰桥尚舍 
