,0
0,天空城 
1,东林景忆 
2,新山复郡 
3,华宇旭辉锦绣花城 
4,汇融名城A区 
5,时代欣城 
6,双林中横路8号 
7,华润二十四城六期 
8,胜天人居 
9,荣盛香榭兰庭一期 
10,东林小区 
11,四川电力建设二公司 
12,二环路北四段4号 
13,民兴南苑 
14,花样年花郡 
15,富临理宫 
16,水映兰庭 
17,领地海纳时代 
18,双林路26号 
19,华润二十四城七期 
20,恒大锦城 
21,理工南苑 
22,金科一城 
23,锦绣东方一期 
24,汇厦沙河锦庭二期 
25,中粮锦云 
26,优品尚东三期 
27,华润二十四城二期 
28,U+尚舍 
29,新鸿路五冶住宅区 
30,华润二十四城三期 
31,建设南新路7号院 
32,东方惠城B区 
33,秀林苑东区 
34,成勘苑 
35,蓝光coco国际一期 
36,招商雍华府一期 
37,双林二巷4号 
38,合能耀之城 
39,佳年华广场二期 
40,德商迎晖天玺 
41,河畔华苑一期 
42,蓝光乐彩城二期 
43,八二新区 
44,泰博理想城二期 
45,怡里馨居 
46,御龙山二期 
47,招商中央华城一期 
48,上东壹号丽景苑 
49,首创国际城二期 
50,怡福巷80号 
51,二重嘉苑 
52,华林东苑 
53,罗兰小镇 
54,红枫岭二期 
55,丽水澜庭A区 
56,东方新城二期 
57,海上海南苑 
58,新华社区 
59,紫东芯座 
60,上行锦绣 
61,海上海北苑 
62,中洲里程 
63,恒大豪庭 
64,中国铁建北湖国际城一期 
65,菽香里社区 
66,新里柏仕公馆 
67,蓝光COCO国际二期 
68,水岸东里 
69,富丽东方 
70,东汇家园 
71,舜和家园A区 
72,浅水半岛三期 
73,隆发苑 
74,华都云景台 
75,阳光100米娅中心一期 
76,东景丽苑 
77,颐和家园 
78,蓝光锦绣城四期 
79,新风路39号 
80,富丽锦城 
81,青秀城 
82,蓝光东方天地 
83,首创爱这城三期 
84,蜀都惠园 
85,兴元华盛三期 
86,优品尚东 
87,云水苑 
88,绿地悦蓉公馆 
89,九龙仓御园三期 
90,榜样 
91,正成东区1号 
92,蓝光公园悦庭 
93,成发紫东阳光 
94,招商雍华府二期 
95,荣盛紫提东郡 
96,马克公馆二期 
97,上东一号一期 
98,三街坊社区 
99,虹波苑 
100,玉双路52号 
101,中国铁建北湖国际城二期 
102,东林城市花园 
103,明信花园 
104,汇融名城C区 
105,双桥路南三街 
106,千居朝阳 
107,红枫岭三期 
108,万年茗居 
109,一环路东三段1号 
110,首创光和城二期 
111,朗诗绿色街区 
112,东晖花园 
113,电子科大东院 
114,上东一号二期 
115,致祥路37号 
116,理工东苑 
117,鲁能公馆1区 
118,招商中央华城二期 
119,沙河新城 
120,十里彩云间 
121,蓝光富丽花城 
122,上霖东方 
123,东虹路65号院 
124,保利康桥 
125,龙湖三千里B区二期 
126,万基蓝麟 
127,龙湖丽景A区 
128,华润二十四城一期 
129,八里阳光 
130,北辰美庐 
131,双林路101号院 
132,荣盛香榭兰庭二期 
133,太阳公元一期 
134,万科魅力之城四期 
135,望平街78号 
136,龙华居 
137,青龙乾院A区 
138,现代北苑 
139,新绿苑 
140,成功银玺国际 
141,浅水半岛一期 
142,财富又一城 
143,水乡嘉苑C区 
144,沙河新居 
145,东润豪庭一期 
146,丽水澜庭B区 
147,青乐苑B区 
148,北湖龙珠 
149,红花堰小区 
150,馨碧苑 
151,蓝光乐彩城三期 
152,新华园 
153,一环路东二段13号 
154,青秀未遮山（一期） 
155,成华奥园广场二期 
156,锦都馨苑 
157,华林南苑 
158,黄金洲公寓 
159,东辰瑞景(成华) 
160,成都理工大学北苑 
161,水畔经典 
162,东方明珠花园西区 
163,上寓 
164,沙河路苑 
165,民兴北苑 
166,东方惠城A区 
167,华润翠林华庭 
168,中国铁建北湖国际城溪檀三期 
169,猛追湾东街6号 
170,华宇阳光水岸 
171,华润二十四城五期 
172,朗基少东家 
173,中房蓝水湾 
174,领都 
175,海棠名居 
176,华润置地悦玺 
177,香澜坊 
178,永立龙邸二期 
179,北回归线二期 
180,郦景东城 
181,交大梦家 
182,西林豫府A区 
183,中海新华府 
184,成华奥园广场一期 
185,泰来小区 
186,东虹路61号院 
187,府青路一段3号 
188,天然居 
189,仙湖公馆 
190,隆鑫九熙 
191,金科中心 
192,龙湖三千里A区一期 
193,冶金宿舍 
194,泛悦城市广场 
195,SM锦悦 
196,平安正街43号 
197,瑞祥御锦 
198,城市博客C城 
199,融锦城 
200,浅水半岛二期 
201,鲁能公馆2区 
202,沙河明珠 
203,蓝光COCO时代 
204,东晖花园三期 
205,中粮珑悦锦云 
206,东虹路63号院 
207,蓝光金悦府 
208,东方丽苑 
209,一环路东三段99号附8号 
210,北新苑 
211,东方明珠花园 
212,双林路196号 
213,东篱路14号院 
214,交大归谷建设派 
215,荆竹苑 
216,首创国际城一期 
217,兴元华盛一期 
218,新鸿路342号院 
219,阳光欣园 
220,阳光100米娅中心二期 
221,新鸿一区 
