,0
0,花桥雅苑 
1,万邦和谐园 
2,隆鑫印象城邦 
3,恒大天府城邦 
4,复兴嘉苑 
5,天山名苑 
6,龙光玖龙府二期 
7,新筑鼎峰 
8,金秋乐园一期 
9,时代晶座(新津) 
10,银桂苑 
11,恒大天府城邦三期 
12,岷江小区一期 
13,万辰乐居 
14,雅居乐锦城 
15,北大资源颐和雅郡 
16,迎宾丽景 
17,丽都佳苑 
18,瑞通路6号 
19,海悦豪庭2期 
20,江山多娇 
21,领地天府兰台 
22,蓝泊湾 
23,山水丽都 
24,南岸华庭 
25,中交牧山美庐 
26,金融街金悦府 
27,新筑巴伦西亚一期 
28,金科廊桥水乡二期 
29,龙王渡二期 
30,城投中南智在云辰 
31,金科廊桥水乡五期 
32,万辰柳庄 
33,蜀道牧山溪岸 
34,龙湖悠山郡千山新屿 
35,九龙名苑 
36,南鑫源 
37,置信牧山丽景三期 
38,锦尚太康 
39,花样年看今朝 
40,欧郡瑞朗花苑 
41,新城金樾府邸 
42,新津县教育研究培训中心 
43,雍景苑 
44,格林经典 
45,万邦金地阁 
46,安菲娅岛 
47,雍景澜庭 
48,天祥巷1号 
49,津都雅居 
50,武阳郡邸B区 
51,华源小区 
52,龙光玖龙府一期 
53,汇祥华楠半岛 
54,缤纷城 
55,芝芝城市花园 
56,金科廊桥水乡三期 
57,保利荔园天府和悦 
58,香居茗苑 
59,国光山水半岛 
60,津都花城 
61,翡翠名邸 
62,水城嘉瑞 
63,武阳中路100号 
64,棉花沱社区 
65,融信碧云天 
66,闽江公寓 
67,津尚都 
68,龙湖双珑原著 
69,龙湖悠山郡一期 
70,尚品境界二期 
71,悠雅港 
72,瑞通路10号 
73,桂香苑 
74,富地名城 
75,粮贸公寓 
76,正西街216号 
77,城北巷14号 
78,都市风景 
79,龙湖长桥郡二期 
80,花样年君山 
81,金秋乐园二期 
82,锦绣苑A区 
83,锦绣苑B区 
84,欧郡C区 
85,南河居(新津) 
86,枫山美地 
87,望津山别墅区 
88,亚特兰蒂斯黄金时代 
89,兰湾蒂钒尼 
90,海林一巷54号 
91,香颐花园 
92,天馨花园 
93,瓦伦西岛 
94,中洲天府珑悦 
95,津门港湾 
96,东安公寓 
97,龙湖悠山郡二期 
98,水榭雅庭 
99,畜牧局家属区 
100,新城金樾澜湾 
101,金科廊桥水乡一期 
102,玉树新村 
103,红泰静水楼台 
104,五津东路279号 
105,惠丰路33号院 
106,南河公寓 
107,复兴巷14号 
108,万邦文景名苑 
109,纯阳雅庭 
110,西城公寓 
111,悠雅公寓 
112,武阳中路123号 
113,金科廊桥水乡四期 
114,西仓街20号 
115,新津老码头 
116,正西街97号 
117,南港都市 
118,瑞园路2号 
119,花屿岛澜庭 
120,抚江国际 
121,外东街158号 
122,淇奥尚品一期 
123,城北社区岳巷子136号 
124,翡翠公馆 
125,翡翠中心 
126,岳巷后街7号 
127,置信牧山丽景二期 
128,秀城 
129,五交化文明院落 
130,文化巷12号 
131,海悦豪庭一期 
132,南河新城 
133,纯阳四期 
134,文化巷84号 
135,武阳西路118号 
136,九龙公寓 
137,龙湖长桥郡三期 
138,正西街116号 
139,瞰海一品水轩 
140,龙湖悠山郡四期 
141,金融金控中心 
142,太平小区三期 
143,黄鹤大道85号 
144,翡翠湾纯水岸 
145,岷江小区三期 
146,武阳花苑 
147,五津北路60号 
148,津城绿地 
149,美好庄园 
150,南洋国际庄园 
151,教师公寓 
152,太升巷上段69号 
153,融信澜天 
154,岷江国际新城 
155,玲珑苑 
156,万科君悦云台 
157,五津东路255号 
158,南河美景花园 
159,抚江社区一期 
160,水韵雅苑 
161,美源小区 
162,置信牧山丽景一期 
163,北大资源溪山樾 
164,龙湖长桥郡一期 
165,瑞新街143号 
166,南河人家 
167,瑞新街46号 
168,图腾国际 
169,华邑南宸府 
170,南桥新天地 
171,太升东街49号 
172,龙王渡小区一期 
173,五津北路84号 
174,电信新津公司宿舍 
175,商业街2号 
176,新民街62号 
177,交四局 
178,五津北路109号 
179,黄鹤大道1号 
180,模范街77号 
181,五津北路9号 
182,和睦人家 
183,黄渡小区一期 
184,武阳西路108号 
185,国信璟院 
186,群益路98号 
187,牧山高第 
188,武阳公寓 
189,时代广场(新津) 
190,瑞新街152号 
191,红石一街 
192,帝景湾 
193,西顺河街 
194,武阳中路217号 
195,教师二小区 
196,水都新城 
197,兴隆街55号 
198,正东街80号 
199,橄榄郡 
200,丽江苑A区 
201,文化巷46号 
202,景上阳光 
203,西仓街61号 
204,希望西路126号 
205,水务局家属区 
206,农行家属区 
207,望津阁 
208,新世纪公寓二区 
209,五津公寓 
210,津港湾 
211,西仓街16号 
212,武阳中路54号 
213,华林街45号 
214,五津东路317号 
