,0
0,天府江南C区 
1,旺府豪庭 
2,蓝光花满庭三期南区 
3,富豪公馆 
4,保利紫荆花语 
5,翰香府 
6,佳乐澜郡左岸 
7,团结小区二期 
8,汇景新城 
9,绿地城 
10,爵领欧城 
11,恒大御府 
12,北新国际广场 
13,鲜花大院 
14,龙湖听蓝湾一期 
15,保利狮子湖檀香郡 
16,家益凤凰富居 
17,宜峰 
18,开元国际 
19,新都城市之心 
20,龙湖听蓝湾二期 
21,汇融广场 
22,润扬观澜鹭岛二期 
23,三合嘉苑 
24,交大数字三区 
25,成怡嘉苑 
26,传化国际新城 
27,麦田国际社区 
28,同泰千叶郡南区 
29,东骏湖景湾 
30,玉湖苑 
31,博雅新城D区 
32,融创凯旋东岸 
33,丽水金都 
34,源上湾万融城三期D区 
35,保利城三期 
36,润禾花园 
37,缤纷翠微湖 
38,雄飞北尚广场 
39,保利公园198丁香郡 
40,汇景花园 
41,天元山庄一期 
42,桂湖东路一巷3号附1号 
43,丰和日丽 
44,嘉美华凯 
45,保利大都汇·君汇 
46,百郦锦城 
47,恒大上林苑 
48,海伦国际二期 
49,庆光小区 
50,天府江南A区 
51,保利拉斐云邸 
52,富力桃园B区 
53,我的大学 
54,成发莱茵北郡 
55,万家和新城花园 
56,同心苑(新都) 
57,常青藤三期 
58,保利大都汇熙汇 
59,南丰紫金苑 
60,万科金域缇香一期 
61,欣茂大峰景 
62,汇融悉尼湾库吉岛一期 
63,晨光小区 
64,香域中央 
65,富豪尚都 
66,保利春天花语 
67,保利城四期中央郡 
68,海伦国际一期 
69,民生新干线 
70,正兴小区 
71,汇融广场B区 
72,博雅新城A区 
73,保利城一期 
74,中洲中央公园蓝湖郡 
75,佳乐澜郡夏宫 
76,邮电小区 
77,格林城市花园 
78,润扬双河鹭岛 
79,万科五龙山璞院 
80,北部桂庭 
81,富力桃园A区 
82,新神风八座 
83,缤纷翡翠湾 
84,中洲中央公园白鹭郡 
85,人民的公园 
86,新都镇医学院小区 
87,状元街111号 
88,润扬北城1号 
89,博海城二期 
90,保利香樟郡 
91,锦尚阁 
92,源上湾万融城C区 
93,升晖嘉苑 
94,和信香榭澜郡 
95,橄榄郡 
96,芙蓉名城三期 
97,博雅新城C区 
98,九形道 
99,天府香城 
100,维也纳花园一期 
101,和成景筑 
102,桂湖名城二期 
103,川音嘉苑 
104,北欧印象 
105,北新润苑二期 
106,九街广场 
107,香城名都 
108,圣采泊尚 
109,金冠华庭 
110,英伦世家 
111,半岛云著 
112,源上湾万融城二期 
113,北新上锦 
114,汉嘉国际 
115,新希望锦悦北府 
116,北欧知识城一期 
117,蓝光花满庭二期 
118,融创凯旋公馆 
119,福地广场 
120,万家和花园 
121,亲河名居A区 
122,天府小区 
123,新都新筑 
124,新军街283号 
125,香城河畔 
126,锦江油泵厂生活区 
127,堤亚纳河谷 
128,蓝湾公馆 
129,交大香洲半岛南庭 
130,保利海棠花语 
131,朗基香樾府 
132,南街一巷9号 
133,朗诗曜龙湾 
134,兴想花园 
135,粼云上府 
136,邑品天都 
137,红湖公园城 
138,融侨悦蓉城 
139,思学园博仕楼 
140,佳乐国际城三期 
141,成都一镇 
142,小城故事 
143,思学园智能村 
144,佳乐国际城二期 
145,渥嘉郡 
146,华润置地·琨瑜府 
147,保利城二期 
148,保利公园198蔷薇郡 
149,龙湖天鉅 
150,北欧知识城二期 
151,万科五龙山翡翠郡 
152,保利拉斐公馆 
153,荣盛香堤荣府 
154,荣煜亲河名居 
155,保利爱尚里 
156,源上湾国际社区千叶郡 
157,三佳悦都 
158,尚林花园 
159,爱立方 
160,学邻名苑 
161,汇融悉尼湾达令港 
162,昊天苑 
163,国光揽悦 
164,时代锦翠 
165,汇融悉尼湾库吉岛二期 
166,蓉垚北尚城 
167,凤凰山1号 
168,湖滨路36号 
169,叠香庄园 
170,万科双水岸 
171,大都保峰玖著 
172,保利公园198百合郡 
173,丰怡阳光 
174,天旭逸城二期 
175,新神风金牛座 
176,万科金域缇香二期 
177,锦绣香城 
178,新都国际广场一期 
179,维也纳花园二期 
180,御城 
181,保利观湖叁 
182,碧桂园上观 
183,友盛幸福居 
184,芙蓉名城C区 
185,上锦康城B期 
186,朗诗观山樾 
