,0
0,竹园二期 
1,华宇楠苑 
2,置信巴厘岛A区 
3,玲珑郡 
4,中华名园二期 
5,红牌楼广场 
6,君悦领地 
7,中铁瑞城三号线 
8,西派城A区 
9,西郡香林 
10,丽景天成 
11,中海常春藤花园 
12,蓝光金双楠二期 
13,正成城市乐章 
14,保利花园四期 
15,菊乐路180号 
16,武侯民居 
17,中海熙苑一期 
18,中铁骑士公馆 
19,龙福苑 
20,永乐苑 
21,世纪锦苑 
22,时代阳光花园 
23,天际首府 
24,爱家馨城 
25,榕苑 
26,金色花园一期 
27,龙安街10号 
28,锦溪 
29,丽景华庭二期 
30,金辉枫尚 
31,置信丽都花园城A区 
32,会所金澜苑 
33,金林俊景 
34,南方花园 
35,武海西城锦绣 
36,双楠路235号 
37,皇家花园 
38,富邑华庭 
39,金茂礼都 
40,桐梓林北路3号 
41,鹭岛国际一二期 
42,竹韵天府 
43,保利花园二期 
44,武侯国际花园 
45,兴元嘉园 
46,名都苑 
47,优客联邦二期 
48,高碑瑞苑三期 
49,中华名园三期D区 
50,双楠尚品广场 
51,中海锦城二期 
52,月光诚品 
53,中央花园二期 
54,新界五期 
55,桐梓林欧城 
56,玉林南街3号 
57,白兰地 
58,棕南苑 
59,双楠所有阳光 
60,丽都世家B区 
61,川大华西新村十四宿舍 
62,桃李园 
63,武海中华锦绣 
64,中粮祥云三期 
65,绿地圣路易名邸二期 
66,永康苑(铁佛西路) 
67,美泉悦府 
68,时代锦绣 
69,鹭岛国际三期 
70,双楠一区 
71,双楠府邸 
72,十七巷3号 
73,观南上域 
74,摩卡筑 
75,锦翠花园南苑 
76,美丽南庭 
77,中华园中苑 
78,鸿禧花园 
79,新华苑(武侯) 
80,喜丽佳园 
81,泰基南棠 
82,新贵公馆 
83,中筑西府兰庭 
84,胜利新村 
85,中国水电泛悦国际 
86,世豪嘉柏 
87,龙湖金楠天街 
88,天朗锦邸 
89,中华名园三期C区 
90,学府花园 
91,玉林品上 
92,双楠三区 
93,交大万通格外 
94,林荫街9号 
95,新巢小区一期 
96,新希望红南港  
97,首座 
98,商鼎国际 
99,万科金色海蓉二期 
100,锦翠北苑 
101,卫雅苑 
102,瑞泰锦城 
103,汇景樱桃季 
104,双楠忆景 
105,棕竹街3号 
106,盛锦华庭 
107,金楠缤纷 
108,交大花园南苑 
109,双楠吉家 
110,龙门公寓 
111,红运花园佳苑 
112,长寿苑 
113,加怡名城 
114,锦宏翠苑 
115,格林楠 
116,煤气总公司宿舍 
117,川大竹林村 
118,红星苑 
119,双楠华苑 
120,优客联邦三期 
121,玉林北街44号 
122,曼哈顿自然派 
123,蜀馨苑B区 
124,人民南路四段7号 
125,花样年华梦想家 
126,橙堡 
127,武侯祠大街254号 
128,南虹雅园 
129,鹭岛国际四期 
130,林荫嘉园 
131,双楠名城二期 
132,西藏阳光苑 
133,一椽坊 
134,都市金岸 
135,省送变电站宿舍 
136,玉林街4号 
137,双楠谊苑一期 
138,永安苑(铁佛东路) 
139,红馆 
140,一品天成 
141,玉林东路7号 
142,牡丹名邸 
143,芳草地 
144,绿地海珀香庭 
145,棕南西街1号 
146,黉门公馆 
147,龙华阳光 
148,营盛大厦 
149,武侯金茂府一期 
150,成都A区 
151,中海格林威治城 
152,美好时光 
153,上道西城 
154,香木林望江兰庭 
155,正基城市主场 
156,蜀馨苑A区 
157,金地花园 
158,一环路南三段 
159,楠贵坊 
160,中海龙湾半岛 
161,武侯金茂府二期 
162,首信汇 
163,火车南站西路12号 
164,保利中心 
165,中海锦城一期 
166,魏玛国际 
167,科院街6号 
168,双楠水岸 
169,民乐园289号 
170,锦座名都 
171,棕南公寓 
172,万兴苑(武侯) 
173,云影苑 
174,紫檀 
175,溢阳绿城 
176,川大与文里 
177,西藏花园 
