,0
0,恒大新城二期 
1,汇厦香悦云庭 
2,西财学府尚郡 
3,金河谷一期 
4,恒大御景 
5,新城府景 
6,千禧河畔A区 
7,洲际银海湾 
8,上林宽境 
9,新尚天地 
10,雅逸居 
11,花样年花样城五期 
12,洲际春天广场 
13,福兴苑(温江) 
14,鹭湖宫七号B组 
15,西财学府阳光 
16,成钞家园 
17,红泰枫华庭 
18,欣盛家园 
19,珠江青云台 
20,湟普国际 
21,边城香格里 
22,合能珍宝琥珀三期 
23,嘉瑞国际 
24,朝阳时代西锦 
25,来凤路54号 
26,彩叠园1A期 
27,艺苑生活圈 
28,金强大学城 
29,大庆蜀苑 
30,锦绣天骄 
31,西贵堂 
32,鹭湖宫六区C组团 
33,水韵尚城 
34,丽晶港 
35,碧水馨居 
36,蓝润光华春天A区 
37,泰基花溪谷 
38,人居万新峰荟 
39,月映长滩c区 
40,合能珍宝琥珀 
41,中房芳华美地 
42,和信孔雀天成 
43,嘉源红郡 
44,汀兰湾 
45,芙蓉田园 
46,银滩 
47,东原城 
48,明信仕林府 
49,佳年华新生活 
50,雅砻阳光花园 
51,芙蓉锦绣一期 
52,月映长滩B区 
53,永平小区 
54,置信学府杏林二期 
55,德坤海地亚 
56,地铁首座 
57,洲际亚洲湾B区 
58,星光华印象 
59,月映长滩栖悦 
60,格凌兰 
61,鹭湖宫五号社区 
62,塞纳河畔 
63,恒大新城一期 
64,天来汇景 
65,巨龙环岛国际社区 
66,公园大道 
67,航天大院 
68,鹭湖宫九区 
69,品润金樽府 
70,金河谷五期 
71,光华瑞廷 
72,泰合新光华府 
73,柳欣源小区 
74,文化路90号院 
75,格澜威尔 
76,银城花树间 
77,锦绣森邻 
78,西财学府憬城 
79,明信青庭 
80,中铁丽景书香 
81,欧郡 
82,合谊万璟台 
83,来凤路59号 
84,置信学府杏林一期 
85,明信城A区 
86,蓝光香瑞湖 
87,七彩花都A区 
88,春天大道 
89,蓝光香境 
90,中铁二十三局集团第三工程有限公司 
91,雕刻时光 
92,恒大未来城三期 
93,千禧河畔D区 
94,明信城B区 
95,世纪光华 
96,世纪滨江 
97,西蜀尚都 
98,锦汇城B区 
99,珠江国际花园 
100,鹭湖宫十一区 
101,鑫源锦城花园 
102,万家华庭 
103,佳年华新生活A区 
104,金河谷四期 
105,七彩花都B区二期 
106,金恒德时代金悦 
107,洲际亚洲湾A区 
108,紫檀山 
109,千禧河畔C区 
110,森宇音乐花园 
111,金科天宸 
112,胜地金芙蓉 
113,乐古浪 
114,鹭湖宫六区B组团 
115,恒大城 
116,中森光华1号 
117,保利西子城 
118,悦彩广场 
119,尚西花郡 
120,黄金路113号 
121,千禧河畔B区 
122,花样年花样城 
123,蓝光四叶城 
124,航天路236号院 
125,佳兆业丽晶公馆 
126,汇智栖岸名居 
127,金色鱼凫 
128,柳城阳光 
129,鹭湖宫八区 
130,漫城 
131,爱家天地B区 
132,中铁城鉴湖栖郡 
133,彩叠园二期 
134,英郦庄园 
135,柳城丽江苑 
136,万科朗润园 
137,翰城 
138,依云 
139,和谐小区(温江) 
140,彩叠园1B期 
141,鹭湖宫10区 
142,鱼凫阳光 
143,文化路174号 
144,上风瑞庭 
145,江南房子北区 
146,凤凰栖岸 
147,中南上熙府熙悦 
148,花语岸 
149,芙蓉花开 
150,水韵华府 
151,荣兴花园 
152,炎华置信上林开府 
153,恒大未来城一期 
154,大华水映岛 
155,定和苑 
156,贝丰鑫筑 
157,云溪路338号院 
158,观澜半岛 
159,德坤恬园 
160,丽景欣城A区 
161,来凤路52号 
162,御富风景 
163,柳春路6号 
164,西花汀 
165,海峡新城三期 
166,恒大未来城二期 
167,8号公馆 
168,棕榈长滩 
169,光华国际 
170,上景东方 
171,中国西部文化城 
172,鱼凫花园 
173,怡和茗居 
174,西城俊园A区 
175,安纳西时光 
176,温中家属院 
177,锦上清苑 
178,金域香洲 
179,静水香榭 
180,锦里光华 
181,美茵河谷 
182,春江青龙湾 
183,蓝润光华春天B区 
184,海科智城 
185,温江一地 
186,珠江御景湾 
187,宁和苑 
188,翰林世家 
189,柳春路4号 
190,合能枫丹西悦一二期 
191,凤凰林溪郡 
192,恒大名城 
193,金马湖壹号 
194,珠江悦湖国际 
195,万春东路10号 
196,两河路西段188号 
197,金桂花园(温江) 
198,涤纶厂家属院 
199,海峡新城一期 
200,启明柳岸馨苑 
201,金科天宸B区 
202,中南云樾 
203,金强城市小区 
204,蓝润睿城 
205,德昆新公馆 
206,金水湾 
207,柳岸银洲 
208,珠江克莱公寓 
209,党校家属院 
210,书香秀筑 
211,绿杨涧 
212,海峡新城二期 
213,中铁城温江阅湖和庭 
214,锦绣阳光(温江) 
