,0
0,碧水云居 
1,丽茗佳苑 
2,滨河湾1期 
3,西街152号 
4,滨江新城 
5,诚卓江东半岛 
6,诚卓华盛国际 
7,政府小院 
8,天成国际花半里小区 
9,京汉新城悦隽风华 
10,莱茵河畔 
11,东城花园 
12,海上花园一二期 
13,文教卫生花园 
14,佰盛香格里拉 
15,诚卓碧波豪庭 
16,喜悦美麓 
17,喜悦美湖 
18,园中苑A区 
19,新华小区 
20,新城悦隽锦城 
21,巴黎阳光 
22,万峰城A区依云谷 
23,阳峰嘉苑 
24,瑞信云鼎 
25,金水花园 
26,公园印象 
27,东城1号 
28,仁和苑 
29,蓝湖城邦 
30,顺城街67号 
31,二号花园 
32,蓝色港湾一期 
33,京汉新城悦隽江山 
34,港通花园 
35,万峰城D区峰景里 
36,建设中路406号院 
37,农行宿舍 
38,金域华庭 
39,诚卓高端 
40,新城.悦隽香江 
41,巴黎春天 
42,印鳌嘉苑 
43,天慧凯颂广场 
44,江水湾三期 
45,新希望旭辉锦官天樾 
46,澜庭东方威尼斯 
47,夜月春晓 
48,银丰花苑 
49,凌江虹缘 
50,阳晨丽都 
51,阳晨D区 
52,大地国际花园 
53,水务局宿舍 
54,昕苑 
55,仁和西城小区 
56,逸水鼎城 
57,悠山郡 
58,蓝水湾一期 
59,枫丹雅筑 
60,东城华府A区 
61,源生一品 
62,地下城堡歌城 
63,人民银行宿舍 
64,五友路2段31号 
65,川空家园 
66,河景馨城A区 
67,九号花园 
68,河景馨城D区 
69,映山岭秀 
70,蜀州花园 
71,雷氏牙科大楼 
72,沱江家园 
73,港通山水华庭 
74,汇强上城 
75,锦城名都 
76,鳌山国际 
77,墨香苑 
78,凯力威锦绣阳光 
79,金色海岸 
80,万峰城B区MINI公馆 
81,江水湾一二期 
82,金地花园 
83,国税局 
84,丽都苑 
85,春天家园 
86,新民街90号 
87,成勘大厦 
88,凯丽滨江 
89,房产保障中心宿舍 
90,十号花园 
91,正中街122号 
92,亿联国际商贸城 
93,海上花园三期 
94,滨海佳苑 
95,工商局宿舍 
96,香港城 
97,石笋井街 
98,学府苑 
99,河韵南苑 
100,百货公司宿舍正中街 
101,西苑 
102,成勘大院 
103,御景湾 
104,滨江花园 
105,山漫锦城 
106,金财花园 
107,河东花园B区 
108,西峰丽景 
109,丰荷苑 
110,恒新家园 
111,三号花园 
112,河东花园A区 
113,东湖胜景二期 
114,优佳国际 
115,新民街285号 
116,大华国际公寓 
117,山水年华A区 
118,七号花园 
119,老澡堂 
120,香江逸景 
121,天慧城 
122,财政局宿舍金水街 
123,红建路北段472号居民楼 
124,夜月雅居 
125,华西美庐 
126,阳晨新世界F区 
127,新海上花园 
128,银杏苑 
129,安西街9号 
130,阳晨E小区 
131,安象街56号大院 
132,二棉厂宿舍 
133,金色家园 
134,怡家花园 
135,兴旺逸景 
136,天慧国际外滩 
137,建设中路296号 
138,长盛街98号 
139,宏馨尚苑 
140,瑞博嘉苑 
141,天成国际馨河湾G区 
142,郡悦名城 
143,上东街2号院 
144,新民街264号 
145,世外桃苑 
146,三建司大院 
147,东江锦绣 
148,成教中心宿舍 
149,煤建大院 
150,东城华府B区 
151,佰盛杰座 
152,五友路三段67号 
153,河景馨城K区小区 
154,凌江峰阁 
155,房管局公房 
156,东湖胜景一期 
157,四川省棉研所 
158,天成国际馨河湾H区 
159,水岸人家 
160,川拖二生活区 
161,正中街99号 
162,中国银行宿舍 
163,上城三期 
164,凌江帝景 
165,顺城街129号 
166,交警队电梯公寓 
167,雄州大厦 
168,河韵馨苑 
169,阳晨新世界B区 
170,天仪花园 
171,锦江家园 
172,简城西街167号 
173,顺城东街20号 
174,河景馨城B区 
175,大华国际 
176,羊羊小镇 
177,大华国际茶城 
178,长盛街15号 
179,万汇中心 
180,仁和医院居民楼 
