,0
0,锦绣西苑二期 
1,蔚蓝卡地亚云墅 
2,交大卡布里城 
3,绿地国际花都一期 
4,天立香缇华府 
5,景尚景一期 
6,中铁瑞景茗城 
7,溪地湾 
8,西蜀祥瑞府 
9,宇众悦府 
10,万达华府C区 
11,上置雅宾利 
12,万科城臻园 
13,西城鸥鹭湾 
14,中铁瑞景茗城二期 
15,花样年龙年中心三期 
16,弘福逸居 
17,西区地标 
18,花样年香门第北区 
19,龙城国际 
20,华邑阳光里 
21,合能橙中心 
22,重百汉正广场 
23,华侨凤凰国际城 
24,中航城 
25,华宇天府花城二期 
26,锦巷兰台 
27,西华苑(郫都) 
28,龙湖弗莱明戈一期 
29,西郡兰庭 
30,万科理想城三期·星河 
31,蓝光幸福满庭 
32,五彩城 
33,一里阳光 
34,铂悦郡 
35,万科理想城一期 
36,蓝光兰亭悦府 
37,铂金时代 
38,中铁奥维尔二期 
39,百舜苑 
40,大陆美地西庭 
41,利阳阿里山 
42,合能四季城二期 
43,合能四季城一期 
44,鹃城园四期 
45,和韵美联墅 
46,人居柏云庭 
47,杜鹃城 
48,蜀鑫西TOWN 
49,时代花城豪庭二期 
50,时代花城一期 
51,金壕雅庭 
52,中信未来城北区 
53,公园1号 
54,大蜀都苑 
55,蜀都新邨 
56,欣苑小区 
57,海骏达蜀都1号三期 
58,蜀风庭院 
59,嘉通云玺 
60,润扬双铁广场 
61,置信逸都D区 
62,青铜时代 
63,新兴花园 
64,香门第名家 
65,桃园柳岸 
66,滨江两岸 
67,傲城 
68,首开龙湖紫云赋 
69,浦兴街44号 
70,华邑宸熙 
71,华宇天府花城 
72,府河御景 
73,杜鹃城千万间 
74,时代风华 
75,新时代家属院 
76,枫林秀色 
77,成外雅庭 
78,中信未来城南区 
79,海骏达蜀都1号一期北区 
80,龙光君悦华庭一期 
81,锦绣西苑一期 
82,保利熙园 
83,滨江两岸二期 
84,花样年香门第南区 
85,万基金蓝湾 
86,兰枫园 
87,绿地国际花都三期 
88,东顺小区 
89,龙城国际四期 
90,万科时光润园 
91,万科城 
92,宇众曼城 
93,清江别韵 
94,时代悦城 
95,交大万嘉樟菊园 
96,万达华府A区 
97,上河苑 
98,鹃城园三期 
99,天邑宏御花园御苑 
100,锦绣东方 
101,同森锦熙 
102,龙湖弗莱明戈二期 
103,中冶中央公园 
104,龙光君悦华庭二期 
105,交大万嘉蓉杏园 
106,润扬双铁广场石犀里 
107,派克公馆 
108,山木居 
109,花样年龙年国际中心 
110,书香府邸二期英伦 
111,成都后花园蝶院 
112,华润橡树湾A区 
113,四季豪廷 
114,朗诗未来家 
115,时代花城三期 
116,保利熙公馆 
117,西区花园水云涧 
118,蓉树园 
119,西华雅苑 
120,尚林家园 
121,时代豪廷广场 
122,华润橡树湾B区 
123,优派立方 
124,晶宝塞纳国际 
125,怡景城市花苑 
126,西区花园晨之曦 
127,中铁伊萨贝拉 
128,中铁塔米亚 
129,正成名城左岸 
130,合能四季城三期 
131,交大万嘉季柳园 
132,中铁西郡英华二期 
133,万达华府B区 
134,水岸天城 
135,西岸翠景 
136,荔园悦享花醍 
137,时代水岸康城 
138,红攀小区 
139,真武巷20号 
140,西城御景 
141,壹里上城 
142,中铁西郡英华三期 
143,西江月 
144,宇众悦城 
145,万树森林二期 
146,得心苑 
147,南大街343号 
148,今日花园 
149,银丰园一区 
150,上风苑 
151,德源第一城蜀风嘉苑 
152,天府上河居 
153,海骏达蜀都1号凯悦二期 
154,朗基少帅府 
155,滨江彼岸 
156,尚公馆 
157,阳光小筑 
158,中冶田园世界 
159,西区御景 
160,置信逸都B区 
161,朗基御香 
162,蜀都新天地 
163,国安尚郡 
164,公园榕郡 
165,紫藤居 
166,置信逸都C区 
167,阳光雅舍 
168,郫县百伦广场 
169,丽阳春天 
170,荆湘路78号 
171,龙城国际五期 
172,天璟荟 
173,1958青年公馆 
174,海骏达蜀都1号一期南区 
175,启明花园 
176,今日润园 
177,锦苑三期 
178,万科玖西堂 
179,金色外滩 
180,滨河花园(郫都) 
181,泰山新城桂花苑 
182,晶宝盛世桃源 
183,泰立观筑 
184,中铁西郡英华一期 
185,西区名宅 
186,书香府邸 
187,阳光小筑二期 
188,桂溪欧苑 
189,中铁银杏广场 
190,西区花园花园洋房 
191,正兴路114号 
192,鑫苑城锦苑 
193,悦未来 
194,和润国际 
195,绿茵豪庭B区 
196,龙城半岛 
197,西区花园别墅绿之韵 
198,郫筒镇西大街263号 
199,景德一巷103号 
200,怡华居 
201,地怡园 
202,晶宝维吉尼亚 
203,润弘铭城 
204,柏林河畔 
205,书院街185号 
206,蓉晶公馆 
207,鼎犀名城 
208,晨苑小区 
209,万科理想城四期未来城 
210,简约生活 
211,博园世家 
212,鹃城帝景 
213,宝生小区 
214,三九八新二区 
215,西汇鹃声里 
216,碧林香堤 
217,三九八家属区 
218,成都后花园二期 
219,玉龙花园 
220,天邑宏御花园宏苑 
221,林涧上馆 
222,美乐广场 
223,星光大道C区 
224,西蜀子云花都 
225,星光大道D区 
226,静雅小区 
227,成灌西路18号 
228,河滨鹭岛 
229,成都后花园四期 
230,府河御景三期小区 
231,阳光叠苑 
232,南兴巷87号 
233,乐视界广场 
234,九寨花园 
235,西湖半岛 
236,沙西明珠 
237,新南小区 
238,蜀源国都 
239,高知楼 
240,地矿人家 
241,兴秀丽景 
242,天益佳苑 
243,东顺巷12号小区 
244,银丰别墅 
245,西江苑 
246,阿坝州州级机关驻郫县干休所 
247,西区银座 
248,成都后花园三期 
249,真武巷47号 
250,水榭花都 
251,攀交花园 
252,惠丰丽城 
253,西汇佳苑 
254,精城名典 
255,天邑宏御花园邑苑 
