,0
0,御景湾 
1,紫荆城 
2,南峰水岸华府 
3,都市美丽风景 
4,君悦名筑 
5,万达城闲山悦四区 
6,蓝郡新界 
7,岭秀都江1期 
8,堰山和畔4期 
9,龙湖小院青城 
10,正成源筑 
11,银海锦都 
12,兴堰丽景A区 
13,建工紫荆城2期 
14,幸福世家一期 
15,岭秀都江3期 
16,闲山悦三区 
17,枫尚领域 
18,逸水青城兰卡威 
19,天府国际凤凰城 
20,明宇豪雅青城 
21,禹通宝誉府 
22,弘阳都江府 
23,映电花园 
24,青城白鹭洲 
25,中铁瑞景誉都(廖家桥路) 
26,闲山悦五区 
27,滨江花园 
28,紫坪锦苑 
29,玉林都江 
30,堰山和畔二期 
31,外滩星空 
32,文瑞苑 
33,康桥水乡B区 
34,上善栖 
35,天源佐岸 
36,青城安曼 
37,美都华庭 
38,宁江大院三期 
39,西环街1号 
40,民主雅苑 
41,上游小区南区 
42,羊叉村村民安置房 
43,高桥B7 
44,星月尚溪河畔 
45,翡丽岛 
46,儒城春天 
47,宁江大院 
48,都江之春 
49,都江堰市集能燃气有限公司重建住宅楼工程 
50,中国青城1期 
51,南桥花园 
52,枫尚锦逸 
53,蓝光青城河谷国际度假区 
54,闲山悦二区 
55,上尚春天 
56,古堰人家 
57,兰花村1期 
58,君悦名筑二期 
59,清芳园 
60,堰山和畔三期 
61,花间墅 
62,潮蓉碧水青城(青云路) 
63,锦水苑(都江堰) 
64,北郡 
65,丽水印象 
66,外滩新天地 
67,闲山悦一区 
68,中铁水映青城 
69,高桥B4 
70,置信·芙蓉青城 
71,青景山庄 
72,太东巷17号 
73,玉垒名居 
74,凤凰里2期 
75,都市美丽洲 
76,天府丽都 
77,滨江丽景 
78,凤凰里小区 
79,方庭苑 
80,玉兰园 
81,青城24院 
82,百伦山水居 
83,兴堰丽景D区 
84,民主小区A2区 
85,观凤路162号 
86,揽山墅 
87,佳美景园 
88,中华青城 
89,山水间 
90,宝信青城 
91,御青城 
92,康桥水乡A区 
93,闲山悦六区 
94,青城风景 
95,珠江青城采乐郡 
96,青城桥工业园家属区 
97,中信云栖谷二期玉堂镇 
98,天下青城D区 
99,兴堰逸苑 
100,高桥鑫玉B1小区东区 
101,紫坪丽景 
102,中建人居山水颐墅 
103,通锦路2号 
104,紫薇苑(紫薇巷) 
105,华夏名居 
106,天和天逸花园 
107,银杏园(银杏西路) 
108,公园大道1号 
109,清溪映墅 
110,海航中国集锦润青城 
111,青城阳光 
112,中信云栖谷 
113,青城365宅院 
114,金桥苑(中山路) 
115,青城365南院 
116,上游小区北区 
117,城北风景苑东区 
118,都江逸家 
119,四季青城(白鹤路) 
120,中冶堰景 
121,清水人家三期 
122,万都香山水岸 
123,水乡人家 
124,高桥B3-南区 
125,青城半岛 
126,都市美好家园 
127,梧桐花园 
128,崇武苑 
129,山水印象(玉府路) 
130,柳岸公寓 
131,愿景青城雪 
132,新丽江 
133,青景园 
