,0
0,依云岭 
1,希望未来城二期 
2,金山国际 
3,金都华府 
4,恒大御景半岛 
5,学府星川 
6,蓝光观岭国际社区翡翠湾 
7,中国节能琅园 
8,星月湾 
9,泰康博观 
10,教师公寓 
11,北部湾 
12,华尔兹广场(金堂) 
13,金山郡 
14,泰祺棕榈湖三期 
15,金海岸·天府花园水城 
16,绿洲金座 
17,维罗纳 
18,鹭洲城邦 
19,观岭别墅丁香墅二期 
20,恒合时代城 
21,万和阳光城 
22,金鹤苑 
23,星岛星时区 
24,水城师苑 
25,和裕印象 
26,金都华庭 
27,金堂金融中心 
28,城投润城 
29,学府星兰 
30,壹号街区 
31,观澜国际 
32,水韵金沙 
33,三星快乐新区安置房 
34,北滨路下段68号 
35,城投.伊顿小镇 
36,金龙路186号附2号 
37,沱起小区 
38,兰天城市广场 
39,希望未来城 
40,蓝光观岭国际香麓湾 
41,现代生态水城上岛一期 
42,蓝光观岭国际社区花湖 
43,粮食局车队宿舍 
44,蓝光观岭国际社区翡翠岭 
45,中铁十九局集团三公司金堂基地 
46,嘉苑小区 
47,金晖花园 
48,现代生态水城 
49,华堂小区 
50,宝龙水岸金城 
51,金沙小区 
52,观岭国际社区丁香墅一期 
53,竹林别院 
54,禾嘉名邸 
55,金航花园 
56,水城茗馨苑C区 
57,西家坝三期安置小区 
58,川西家园B区 
59,欧康花苑 
60,金西苑 
61,泰康尚境 
62,中心寺小区 
63,毗河小区 
64,水城印象 
65,龙泉公寓 
66,安康苑 
67,美茵庄园 
68,怡静湖 
69,蓝光观岭威尼斯 
70,棕榈湖国际社区 
71,金泉秀岭A区 
72,沱源新居 
73,保利堂悦府 
74,和裕欧景 
75,金阳丽景 
76,现代生态水城上岛二期 
77,万邦悦城 
78,韩滩河湾小区 
79,金色教育 
80,金阳美景 
81,沱源小区 
82,三江新区二期 
83,森林小区 
84,金城锦绣花园 
85,广慧好望角 
86,三和水城之星 
87,金穗花园 
88,学府雅庭 
89,天府金茂悦 
90,双羽湾 
91,普利新居 
92,雅静苑 
93,农行宿舍 
94,泰康欣苑 
95,情芳花木小区 
96,北滨1号 
97,亲水映象 
98,十里花园 
99,利民巷4号 
100,在水一方 
101,今日润嶺 
102,学府星天 
103,金泉丽都 
104,现代名城 
105,润州金外滩 
106,金阳水景 
107,水城学府 
108,卫鑫小区 
109,桔园小区 
110,蓝光观岭国际社区碧澜山 
111,万方家园 
112,世茂璀璨里 
113,水城翠岚小区 
114,金龙路117号附15号 
115,水城栖谷凤凰栖 
116,蜀源小区 
117,新桂花苑 
118,紫霞苑 
119,梧桐大院 
120,杨柳桥小区 
121,朗诗未来街区 
122,蓝光观岭国际社区香缇湾B区 
123,人和嘉苑 
124,广泽南庭 
125,工商沙河小区 
126,钟楼大院 
127,川西家园A区 
128,现代名都 
129,绿岛花园 
130,水城栖谷 
131,金府苑 
132,金龙路215号 
133,家珍花园 
134,华泰创新家园 
135,中国会馆 
136,交通欣苑 
137,金水苑 
138,世纪悦城 
139,北滨花园 
140,和裕璟棠府 
141,艺都 
142,新城市花园 
143,龙洞小区 
144,泰康家园 
145,罗马花园 
146,江南苑 
147,水城花园西区 
148,和美家园 
149,警官公寓 
150,宏发小区 
151,金泉名都 
152,金堂商会大厦 
