,0
0,香山苑 
1,怡新苑(金牛) 
2,润泽园 
3,永陵路29号 
4,白鸽岛尚 
5,三九绿城 
6,华侨城纯水岸一期高层 
7,天悦城 
8,泰逸阳光 
9,为民新居 
10,西锦国际一期 
11,兴盛世家D区 
12,三洞桥路12号 
13,凤凰栖 
14,高家庄赞城 
15,百佳庭院 
16,仁和迎宾 
17,解放路一段120号 
18,锦城名都 
19,国宾锦麟天玺 
20,九里阳光 
21,树蓓街104号 
22,富丽碧蔓汀 
23,河滨森邻C区 
24,金牛万达D组团 
25,保利公园里 
26,禾嘉利好 
27,红花村1号 
28,九里教师苑 
29,北斗七星城 
30,泉水人家三期A区 
31,新桥逸景C区 
32,映日荷花 
33,电建洺悦府 
34,千和馨城 
35,中加水岸 
36,营康西路80号 
37,光荣北路5号 
38,泰基北锦 
39,雅图丽景 
40,晓初公寓(金牛) 
41,蓝光花满庭一期 
42,北星城 
43,平福巷6号小区 
44,鑫源公寓 
45,交大智能一期北苑 
46,一品荷花 
47,泉水南苑 
48,一环路北三段72号 
49,碧桂园城市花园 
50,居然小区 
51,树蓓巷1号 
52,枫桥晓月 
53,交大东园 
54,金沙路13号 
55,交大智能四期 
56,保利国宾首府二期 
57,西安北路27号 
58,九里小区 
59,西线阳光 
60,汇景新村(金牛) 
61,金沙巷12号 
62,锦汇花园 
63,金沙逸苑 
64,为民路45号 
65,金仙桥路3号 
66,华侨城原岸 
67,檀香花园 
68,保利天和 
69,华侨城东岸一期 
70,今阁公寓 
71,都市人家一期 
72,田家巷18号 
73,翡翠海湾 
74,金府世家 
75,育才路27号 
76,双城 
77,华侨城纯水岸一期多层 
78,西西学府里（二期） 
79,金港兴城 
80,红色佳苑 
81,幸福彼岸 
82,电子十所宿舍 
83,金玺园 
84,保利梧桐语 
85,金城丽景 
86,星辉中路6号 
87,西蜀瑞苑 
88,两河锦地 
89,龙湖北城天街一期 
90,西城公馆 
91,金牛花园 
92,交桂一巷11号 
93,和睦人家一二期 
94,凌江尚府 
95,五福桥东路8号 
96,西宸原著 
97,荣光巷 
98,交大智能二期 
99,紫桂花园 
100,保利两河森林 
101,长兴苑 
102,龙樾熙城 
103,金沙古韵 
104,通锦路3号院 
105,恒业星园 
106,恒福苑 
107,幸福屋语 
108,锦西民园 
109,蜀汉小区 
110,金沙别致 
111,懋园国际商住城 
112,五福佳苑 
113,贝多小屋 
114,金樽雅庭 
115,芙华新大陆 
116,沙湾北区商寓 
117,保利天汇 
118,唯特郡 
119,蓝光云鼎 
120,保利学府城 
121,江源巷7号 
122,萃苑公寓 
123,迪康银色诗典 
124,花牌坊街6号 
125,荷花名都 
126,万科加州湾 
127,保利堂悦 
128,兴元绿洲一期 
129,万基兰御 
130,金卉苑 
131,新桥逸景B区 
132,柳堤苑 
133,阳光金沙 
134,金桔花园一期 
135,二道桥街72号 
136,宏源新居 
137,新天地民苑 
138,海滨苑 
139,西岸观邸 
140,益民苑 
141,状元府邸(金牛) 
142,华宇西城雅郡 
143,一品天下C区 
144,金泉阳光雅新苑 
145,工人村 
146,马鞍东路社区 
147,绿地世纪城 
148,燕宇康品 
149,金沙上城 
150,蓝光金悦金沙 
151,银沙路8号 
152,金琴路南二巷2号 
153,星河小区 
154,金桔花园二期南苑 
155,恒大西锦城 
156,懋园西沿风景 
157,锦西名宅西区 
158,交大智能九期 
159,悦民苑 
160,营康西路118号 
161,育苗路8号 
162,长荣苑 
163,熙城国际 
164,龙湖北城天街二期 
165,青羊东一路68号 
166,红花教师苑 
167,长福苑 
168,万科金域西岭 
169,抚琴西苑北区 
170,国宾时光汇 
171,尚熙庭苑 
172,和谐家园 
173,瑞安城中汇 
174,凯丽豪景 
175,金泉阳光畅新苑 
176,锦西人家二区 
177,华夏之家 
178,金牛万达A组团 
179,澳林春天 
180,金牛幸福时光 
181,中新路1号 
182,青房尚瑞天韵 
183,金华公寓 
184,九峰花园 
185,华润银杏华庭 
186,和睦人家三期 
187,营门口路523号 
188,抚琴街北一巷1号 
189,金都苑 
190,菁华园 
191,沙湾东一路6号 
192,旭辉江山和鸣 
193,一品天下D区 
194,营康路77号 
195,通锦桥路 
196,金罗路12号 
197,北京城建龙樾熙城二期 
198,红花南路14号 
199,欧美苑 
200,幸福枫景 
201,红花北路16号 
202,百寿路9号 
203,人居花照云庭 
204,福祥家园瑞康苑 
205,荷里活 
206,新熙门 
207,府河路苑 
208,金都花园 
209,星辉西路8号 
210,欣园 
211,诺亚方城 
212,九里欣园 
213,交大智能六期 
214,四季香榭 
215,亲水美居 
216,泉水北苑 
217,杨柳新屯 
218,城市博客阳光里 
219,营门口路309号 
220,城市绿舟花园 
221,新和理想家 
222,福祥家园瑞祥苑 
223,曦城 
224,锦城苑(金牛) 
225,九里西苑C区 
226,现代城 
227,华侨城纯水岸二期 
228,香都美地 
229,云翔金谷 
230,抚琴东巷2号 
231,量力健康城 
232,上层建筑 
233,泉水人家二期A区 
234,保利时代云洲 
235,蓝光富丽城 
236,地矿局宿舍 
237,潮蓉苑 
238,西青路20号 
239,为民新村 
240,西锦国际三期 
241,抚琴西路南一巷2号 
242,炎华置信花千集 
243,龙门镇二期 
244,兴盛世家B区 
245,花朝月盈 
246,香江岸 
247,朝阳朗香广场 
248,河滨森邻D区 
249,青羊西路2号院 
250,金奥苑 
251,城北小区(金牛) 
252,沙河源上金府 
253,光荣北路11号 
254,白马后巷8号 
255,全兴花园 
256,金鱼街60号 
257,枣子巷17号 
258,九里苑(星汉路) 
259,金科苑中街54号 
260,锦鸿西苑 
261,东原亲亲里 
262,青羊北路13号 
263,惠民苑(金牛) 
264,金科苑中街106号 
265,西沙美景小区 
266,星河路社区 
267,茶店子育苗路10号 
268,三和花园 
269,抚琴北巷4号 
270,抚琴西北街26号 
271,铁路新村 
272,锦西花园一期 
273,华侨城纯水岸三期 
274,营通街16号 
275,凯瑞花都 
276,绿杨新邨 
277,文家巷18号 
278,水韵天府 
279,金沙巷16号 
280,金鱼街72号 
281,枣子巷15号 
282,金泉阳光佳新苑 
283,交大智能五期 
284,营和街66号 
285,金牛万达C组团 
286,憩园公寓 
287,恒德路10号 
288,人和逸景 
289,圃园南二路6号 
290,芙蓉苑一期(黄忠) 
291,中铁鹭岛艺术城 
292,筒车巷29号 
293,营通街99号 
294,首开龙湖紫宸二组团 
295,泉水人家二期B区 
296,一环路西三段13号 
297,中铁马家公馆 
298,北成星中心 
299,中粮祥云里 
300,王贾•红豆华庭 
301,抚琴北巷2号 
302,久鑫华园(交大路) 
303,龙湖上城天街广场 
304,远洋朗郡 
305,顶峰水岸汇景 
306,泰逸美景 
307,平福巷2号小区 
308,为民路89号 
309,凤翔云庭 
310,爱民路124号 
311,众合华庭 
312,蓝色空间如意府 
313,西府花园 
314,西城首峻 
315,花圃教师苑 
316,飞大壹号广场 
317,华欣园 
318,曹家巷恒大雅苑 
319,北苑富兴公寓 
320,龙门镇 
321,马鞍北路45号 
322,银海中心 
323,恒大曹家巷广场 
324,解放路二段195号 
325,金牛万达B组团 
326,中房北极星花园 
327,瑞升城北橡树林 
328,抚琴西北街30号 
329,首开龙湖紫宸香颂 
330,万达SOHO公寓 
331,纯溪公寓 
332,解放路一段89号 
333,一环路北四段207号 
334,北站东二路11号 
335,紫金乐章 
336,千和茗居 
337,润泽园二期 
338,城隍公寓 
339,金琴路164号 
340,两河院子 
341,为民路新28号 
342,阳曦芙蓉城 
343,营福巷37号 
344,花圃名居 
345,西城天下 
346,红花北路19号 
347,抚琴街北三巷2号 
348,平福巷4号 
349,田家巷20号 
350,同善街37号 
351,龙湖源著东区 
352,金科苑正街81号 
353,解放路一段97号 
354,西安中路6号 
355,营通街181号 
356,朝阳公寓 
357,西蜀皓月 
358,二环路北四段70号 
359,幸福春天 
360,天合凯旋港 
361,锦泰世家 
362,西青路53号 
363,西安北路91号 
364,田家巷16号 
365,宏源大厦 
366,华润龙湾御府 
367,维达北苑 
368,锦西国际 
369,蓝色空间蓝月 
370,沙湾东二路6号 
371,青房天韵华庭 
372,北站东二路5号 
373,第一园 
374,芙蓉花园 
375,西安北路三巷5号 
376,尚锦城 
377,西西学府里 
378,北丽苑 
379,光荣北路77号 
380,金沙路10号 
381,西景花园 
382,光荣西路65号 
383,光荣北路86号 
384,郎家小区 
385,营康西路184号 
386,西城丽景 
387,蓝光花好月圆 
388,西体路 
389,成都长虹天樾  
390,通锦苑 
391,九里苑(星辰一巷) 
392,红旗巷6号 
393,金沙路127号 
394,香木林加州国际 
395,银沙北街58号院 
396,树蓓街1号 
397,化成街10号 
398,交大智能三期 
399,新世界丽晶花园 
400,抚琴西南街45号 
401,金港湾花园二期 
402,金沙美邻丽雅苑 
403,怡欣苑(金牛) 
404,科泰公寓 
405,银沙路16号 
406,营福苑 
407,嘉洲华府 
408,星川福苑 
409,西城星座 
410,兴元花园二期 
411,千和银杏花苑 
412,人民北路一段21号 
413,福祥家园瑞福苑 
414,金鱼街5号 
415,营康巷32号 
416,新桥丽景A区 
417,二道桥街71号 
418,营通街67号 
419,星辰路89号 
420,白马寺街31号 
421,三洞桥路16号 
422,中南海棠集 
423,凌远花园 
424,红旗巷5号 
425,家和楼 
426,川裕苑 
427,龙湖源著西区 
428,五丁苑 
429,殷家沟 
430,木综厂宿舍 
431,黄忠爱丽舍 
432,金鱼街9号 
433,和朝新居 
434,格林尚元丽舍 
435,营和巷52号 
436,金沙苑公寓 
437,永陵路27号附2号 
438,树蓓街106号 
439,恒德路6号 
440,外曹家巷28号 
441,金房星座 
442,普罗雅庭 
443,西安南路52号 
444,风林假日 
445,五合苑 
446,博雅馨地 
447,抚琴西路199号 
448,北站东一路10号 
449,抚琴街南四巷1号 
450,马鞍北路8号 
451,聚贤半岛花苑 
452,金沙巷10号 
453,嘉恒商寓 
454,南玻公寓 
455,艺家二期 
456,德意馨苑 
457,圃园小筑 
458,杏苑公寓 
459,二环路北一段153号 
460,鸿锦汇 
461,营福巷67号 
462,金港空中花园 
