,0
0,华熙528艺术村盈都 
1,鑫苑名家一期 
2,东安北左街37号 
3,海桐三期 
4,绿地468云玺五期 
5,美丽合江 
6,钢管厂五区 
7,锦和康城▪锦绣苑 
8,雕墅 
9,绿地中心468星朗 
10,望江橡树林一期 
11,人居锦尚春天A区 
12,锦江国际花园 
13,蜀都花园 
14,学道街111号 
15,三圣街24号 
16,锦江城市花园三期 
17,锦和康城和贵苑 
18,华熙528艺术村悦都 
19,光辉岁月 
20,锦馨家园B区 
21,瑞升望江橡树林二期 
22,世纪朝阳 
23,恒大都汇华庭 
24,人居东城花汇 
25,锦江城市花园二期 
26,绿地中心云锦468 
27,秀水园 
28,中房优山PLUS 
29,蓝润V客东都一期 
30,莲花逸都 
31,宜家HOME 
32,鑫苑名家二期 
33,总府花园 
34,四海逸家二期 
35,和平街14号 
36,红星国际 
37,交大绿岭二期 
38,人居锦尚春天B区 
39,锦府苑 
40,上东花园1组团 
41,阳光365 
42,华韵天府 
43,上海东韵 
44,锦江印象 
45,外滩 
46,莲花新一区 
47,中道街52号院 
48,太升南路173号 
49,东润风尚 
50,海椒市街13号 
51,天涯庭苑 
52,塔子山壹号 
53,青石桥南街38号 
54,蓉上坊一期 
55,通用时代国际社区 
56,锦蓉佳苑 
57,上东锦城A区 
58,绿野天城 
59,合能锦城 
60,锦洲花园 
61,忠烈祠东街51号 
62,瑞升望江橡树林三期 
63,尖东旺座一期 
64,万科金润华府 
65,莲桂南路22号 
66,邮电职业技术学院宿舍 
67,皇经花园A区 
68,油篓街35号 
69,天誉花园 
70,花果新居二期 
71,三洲娇子苑 
72,财富中心 
73,九龙仓擎天半岛 
74,中粮鸿云 
75,万科城市花园 
76,莲花新二区 
77,莲花新区 
78,沙河上二期 
79,星城银座 
80,人居东湖长岛 
81,万达锦华城 
82,东湖国际 
83,时代豪庭四期 
84,时代豪庭三期 
85,梨花街38号 
86,卓锦城二期 
87,天涯商住楼 
88,莲花新区北三巷60号 
89,四海逸家一期 
90,锦海国际花园 
91,首开龙湖天璞 
92,东洪广厦 
93,比华利国际城一期 
94,华润幸福里二期 
95,美华大厦 
96,翡翠城五期 
97,锦城峰荟荟瑞阁 
98,蓝谷地天域 
99,康郡 
100,乐天圣苑 
101,俊发星雅俊园 
102,南光源 
103,蓉上坊二期 
104,都会风尚 
105,银唐国际 
106,红星公寓 
107,锦江明珠 
108,名沁苑 
109,镏金岁月 
110,优山禧园 
111,东光街11号 
112,桂王桥西街54号 
113,天誉南庭 
114,滨江中路1号 
115,喜年广场 
116,建设南村55号 
117,南新街25号 
118,东润风景A区 
119,萧邦 
120,上行汇锦 
121,锦东庭园 
122,伊泰天骄 
123,翡翠城三期 
124,吉宝凌云峰阁 
125,金桂园(锦江) 
126,嘉和园一期 
127,中道街88号院 
128,科技苑(锦江) 
129,绿地468公馆三期 
130,国润天骄 
131,育才晓筑 
132,花果新居一期 
133,天悦龙庭 
134,东城美地 
135,中道街99号 
136,城东雅郡 
137,国嘉新视界 
138,正成财富ID 
139,沙河壹号二期 
140,比华利国际城二期 
141,蓝光凯丽香江 
142,德馨苑 
143,绿地468公馆一期 
144,莲桂南路193号 
145,融创玖樾台邸 
146,华润幸福里一期 
147,华熙528艺术村锦都 
148,澳龙名城 
149,锦城峰荟荟菁阁 
150,东方逸景 
151,华都美林湾 
152,东景家园 
153,皇经楼新居一期 
154,天地云庭 
155,水碾河南三街39号 
156,首创娇子1号 
157,秀水花园 
158,经典坐标 
159,蓝润锦江春天 
160,央湖名邸一期 
