,0
0,听湖九园 
1,蝴蝶洲 
2,嘉合凤凰岛 
3,万科时代之光 
4,嘉和丽景(政府北路) 
5,天骄星城翰林院 
6,佳兆业悦府 
7,凤凰铭筑 
8,清华逸景 
9,茶花新城 
10,交大怡家 
11,美的新城公园天下 
12,凤凰1号•栖云湖 
13,天府欧城 
14,城埝小区 
15,尚林幸福城 
16,团结花园 
17,大邦第1城 
18,长流河小区 
19,力合上域中央 
20,紫苑小区(学苑路) 
21,华洲名城尚院 
22,川化三村 
23,龙域都市兰亭 
24,协信天骄城 
25,天和睿城 
26,棠湖清江花语 
27,兴城人居瑞云府 
28,誉府仕家 
29,瀚城新天地 
30,嘉和瑞景 
31,经典上城(凤凰西五路) 
32,大弯北路86号 
33,深业泰然成都怡湖珑园 
34,青江名城 
35,长河郡 
36,瀚城国际 
37,金科博翠天宸 
38,公园世家 
39,宏瑞阳光郦城 
40,凤凰小区 
41,怡城北居 
42,国龙花园 
43,大弯学府雅园 
44,嘉和世纪城 
45,红阳1区 
46,中华名城2期 
47,浅水湾(华逸路) 
48,凯莱丽景 
49,凤凰盛景 
50,西街上院 
51,新力翡翠湾 
52,建工梧桐屿 
53,绣川新苑 
54,北城映像东区 
55,城香首府 
56,青水美居壹期 
57,七里溪香 
58,宏翔兴居 
59,瑞居海布斯卡 
60,凯斯顿华府 
61,绣川新城 
62,凤凰湖国际社区 
63,阳光花园南苑 
64,幸福家园碧云天 
65,钱江凤凰城 
66,蜀青名苑 
67,青江花园 
68,金色港湾(凤祥大道) 
69,天誉 
70,栖凤居二期 
71,恒大雅苑 
72,大弯北路88号院 
73,春天华逸 
74,青江馨苑 
75,瀚城悦府 
76,天和绣水岸 
77,万科碧桂园公园大道 
78,虹信大厦 
79,经典华庭 
80,集装箱中心站小区 
81,华金大道二段769号 
82,怡湖玫瑰苑 
83,华金苑 
84,政和雅苑 
85,新城悦隽盛世 
86,德通心愿城 
87,宏恩康城 
88,华金大道三段39号 
89,绣水蓝庭 
90,健生翡翠港 
91,中华名城1期 
92,青江东路85号院 
93,凤凰名城 
94,幸福家园新河湾 
95,书香别院 
96,香草洲 
97,交通局机关大院 
98,廊桥翠庭 
99,华逸花园(华逸路) 
100,中铁二局小区 
101,政府中路211号院 
102,星光家园 
103,川化一村 
104,电力花苑 
105,青白江天美广场 
106,检察院宿舍 
107,川化住宅区 
108,蜀青丽晶府 
109,成都丽雅纤维215大院 
110,永兴花园 
111,香林名宅 
112,北城新界民族花园 
113,城投美庐 
114,东苑(安居路) 
115,川化怡湖春天 
116,泰和欧城 
117,水云间 
118,凤凰栖小区 
119,阳光花园西苑 
120,九千朝阳(夏家巷) 
121,城市花园(红阳路) 
122,青水美居二期 
123,书香院 
124,文化苑小区 
125,丽雅美锦 
126,安居西苑 
127,怡景阳光(石家碾东路) 
128,红阳二小区 
129,北辰雅苑 
130,光华苑 
131,天泉酒店 
132,嘉福公寓 
133,锦尚景 
134,红阳花园 
135,四季花园 
136,越秀亲爱里 
137,天和悦城 
138,俊翔府邸 
139,栖凤居 
140,拆院并院小区 
141,怡湖西路189号院 
142,蜀青丽景湾 
143,金色花园(青江中路) 
144,文体花园(政府南路) 
145,华金大道三段85号院 
146,华金大道二段418号双子座 
147,黄山名苑 
148,成钢新小区 
149,金牛座(青白江) 
150,和盛花园 
151,杨柳花园 
152,雅居乐星徽城 
153,怡湖西路231号院 
154,教育街81号院 
155,杨柳路2号院 
156,映泉美居 
157,城北小区(青白江) 
158,四季豪庭 
159,悦荟时代广场 
160,成青小区 
161,万贯国际贸易大平台 
162,瀚城绿洲 
163,合谊同华 
