,0
0,锦红苑 
1,王家塘街11号 
2,铸信境界 
3,恒大翡翠华庭 
4,龙湖西府琅悦 
5,清河阳光 
6,紫云金沙 
7,金鹏街176号院 
8,金沙城锦西观棠 
9,保利贝森公馆 
10,俊发时光俊园 
11,凯德风尚 
12,心灵家园 
13,双顺路4号 
14,优品道二期 
15,中大君悦金沙七期君逸院 
16,陕西街100号 
17,蓉西阳光南区 
18,金沙蜜地 
19,蓝光COCO蜜城 
20,幸福里 
21,二十一世纪花园三期 
22,佳兆业西城广场 
23,德盛路5号 
24,光华尚居 
25,培风小区200号 
26,华府世家 
27,清水路苑 
28,博瑞都市花园 
29,四道街16号 
30,光华杏林 
31,锦青苑 
32,锦绣光华 
33,光华馨地 
34,蓝光COCO金沙一期 
35,华润金悦湾 
36,同善桥横街8号社区 
37,牧电路8号院落 
38,同怡横街50号 
39,帘官公所街73号 
40,海棠月色 
41,通惠门路25号 
42,馨光嘉苑 
43,西财骏苑 
44,上城生活馆 
45,正府街110号 
46,蜀辉路299号 
47,光华碧邻 
48,经四路138号 
49,西城尚锦 
50,蓝光凯丽美域 
51,蓝光COCO金沙三期 
52,清水河畔 
53,龙景花园 
54,英国小镇蔷薇园 
55,光华逸家 
56,佳兆业广场 
57,蓝光雍锦园 
58,海亮樾金沙 
59,东坡小区 
60,紫御熙庭 
61,上善清波小区A 
62,锦桂苑 
63,乐摩筑 
64,水木光华 
65,同仁公寓 
66,天盛壹中心 
67,荣盛花语城 
68,城市物语 
69,大石东路17号附1号 
70,东马道街21号 
71,蓝光coco金沙二期 
72,清溪雅筑 
73,商业街50号 
74,南灯巷2号 
75,中铁西城东苑 
76,置信清水湾 
77,元益花园 
78,中华家园东区 
79,中大君悦金沙九期君雅院 
80,东原时光道 
81,金丝街12号 
82,蓝光SOFA社区 
83,铜丝街5号 
84,橙花风景 
85,卫民巷83号 
86,正府街111号 
87,金地金沙府邸 
88,知贤坊 
89,融城云熙 
90,皇城公寓 
91,东通顺街40号 
92,大墙东街178号 
93,上池正街112号 
94,竹韵菁华 
95,优品道三期 
96,盛世草堂 
97,浣花小区 
98,成都花园望郡 
99,禾嘉花园 
100,大陆西城秀筑 
101,奎星楼街19号 
102,成都花园上城 
103,支矶石街17号 
104,锦怡居 
105,树德巷1号 
106,洛阳路27号 
107,上河新城 
108,金沙海棠 
109,清江东路5号 
110,世纪金沙 
111,多子巷33号 
112,正黄金域国际 
113,龙湖翠微清波A区 
114,长顺上街125号附1号 
115,琴台路157号 
116,双玺 
117,白领尊邸 
118,米兰小筑 
119,恒大广场 
120,聚星城 
121,小福建营巷13号 
122,时代印象 
123,御都花园别墅 
124,保利香槟光华 
125,英伦金沙 
126,天祥广场尚府 
127,四川棉麻大厦 
128,馨光华庭 
129,美丽朋城 
130,缤纷假日 
131,石人南路8号 
132,贝森园 
133,长顺南苑 
134,锦花苑(青羊) 
135,城置尚豪庭 
136,洛阳路190号院 
137,金鹏街271号 
138,西府少城 
139,自由自宅 
140,金地嘉年华城C区 
141,四川省社会科学院 
142,金沙柏林郡 
143,下同仁路30号 
144,西岭路1号 
145,二十一世纪花园四期 
146,长顺苑北苑 
147,中铁瑞城锦隆时代 
148,米兰香洲 
149,北打铜街 
150,仁厚街38号 
151,金沙鹭岛四期 
152,锦绣朋城 
153,百花西路25号 
154,中铁西子香荷 
155,金沙西园一期 
156,时代尊城 
157,金地嘉年华城B区 
158,中大君悦金沙五期 
159,泡桐树街16号 
160,将军街8号 
161,方池街43号附5号 
