,0
0,桐梓林小区 
1,建发鹭洲国际 
2,中国华商金融中心 
3,万科金域名邸一期 
4,银都花园皓苑四期 
5,宸光和悦三期 
6,逸都国际 
7,华润凤凰城三期 
8,朗基和今缘 
9,一环路南三段80号 
10,中海九号公馆 
11,时代天城 
12,大源北一街25号 
13,中海城南一号二期 
14,蜀都中心一期 
15,清凤时代城 
16,上海花园(高新) 
17,安信花园 
18,怡馨家园 
19,北辰朗诗南门绿郡二期 
20,南华佳苑 
21,四季家园 
22,花样年美岸 
23,翡翠半岛 
24,中德·英伦世邦F区 
25,银泰泰悦湾 
26,新园社区 
27,成都文儒德 
28,一品CG 
29,城南名著 
30,锦龙云府 
31,普天小区 
32,临江苑东区 
33,临江苑西区 
34,艺家CLASS 
35,美洲花园三期 
36,世豪瑞丽 
37,保利心语花园二期 
38,南城都汇汇馨园三期 
39,融创香璟台东苑三期 
40,大源欢乐颂 
41,时代晶座(高新) 
42,新川雅居 
43,紫竹苑 
44,保利锦湖林语南区 
45,欧尚庭院 
46,高盛金融中心 
47,御廷上郡 
48,远大都市风景一期 
49,尚郡 
50,IMC国际广场 
51,南城都汇汇雅园二期 
52,中洲锦城湖岸 
53,鸿阁一号 
54,新怡花园A区 
55,中海城南一号一期 
56,东苑A区 
57,朗基御今缘 
58,天鹅湖北苑 
59,南铁新居 
60,中海兰庭 
61,万科璟南堂 
62,天鹅湖花园 
63,龙湖九里晴川 
64,华润凤凰城二期 
65,天府豪庭 
66,格林君典 
67,军安卫士花园 
68,红树湾 
69,锦尚天华 
70,中海城南华府 
71,东方希望天祥广场 
72,香年广场 
73,仁美熙和府 
74,天悦府 
75,合能璞丽 
76,名著司南 
77,中铁城锦南汇 
78,齐盛艺境 
79,中德英伦联邦B区 
80,神仙树大院四期 
81,泰和佳园 
82,天府名居 
83,润新花园二期 
84,金地天府城 
85,新南中心 
86,华润凤凰城一期 
87,南桥春天 
88,高升桥东路19号 
89,南延新苑 
90,檀香山 
91,神仙树大院五期 
92,怡丰新城 
93,中建天府公馆 
94,紫荆苑 
95,楠香山 
96,大有智慧 
97,神仙树大院一期 
98,领馆区1号 
99,都城雅颂居 
100,好莱坞商业广场 
101,和贵时代巢 
102,凯德世纪名邸 
103,金竹苑C区 
104,南都邻秀 
105,紫丁巷3号 
106,远大都市风景五期 
107,超洋花园 
108,龙湖世纪峰景 
109,北大资源颐和翡翠府 
110,南城都汇汇尚园 
111,北辰香麓 
112,城南晶座 
113,三和南锦 
114,丹桂苑(高新区) 
115,南苑公寓 
116,国际花园 
117,润富国际 
118,中德英伦世邦K区 
119,鑫阳花园 
120,天府名居金沙江苑 
121,尚义居 
122,蓝光金悦派 
123,新城国际广场 
124,时代天府 
125,宁馨园 
126,蓓蕾西巷8号 
127,叠翠峰 
128,中德英伦联邦A区 
129,航天城上城一期 
130,保利心语花园四期 
131,中海翠屏湾 
132,中航国际交流中心 
133,皇城花卉 
134,复地雍湖湾 
135,锐力领峰 
136,沙子堰东巷5号 
137,卡斯摩广场 
138,南城都汇汇彩园 
139,长冶南阳御龙府一期 
140,保利百合花园 
141,普得先锋国际 
142,枫林苑 
143,黄金时代(中和街道办吉龙二街) 
