,0
0,世茂城二期 
1,金上城 
2,三盛都会城 
3,昊园江南壹品 
4,锦上城 
5,天立广场 
6,驿都城 
7,香槟城 
8,龙府花园 
9,首创东公元 
10,龙城1号 
11,华府幸福城 
12,华府幸福城A区 
13,新城吾悦广场 
14,首开龙湖景粼玖序一期 
15,怡和新城E区 
16,皇冠湖壹号 
17,怡和新城C区 
18,世纪苑二期 
19,林溪康城B区 
20,怡和新城F区 
21,电建地产云立方 
22,明星花苑 
23,国一剑桥丽景 
24,名景花园二期 
25,东麓驿境四期 
26,怡水居 
27,世茂城四期 
28,百悦天鹅湖 
29,新希望锦麟府 
30,果壳里的城 
31,雄飞生活广场 
32,泰华锦城 
33,恒大御龙天峰 
34,龙泉驿龙栖苑 
35,东山国际新城D区 
36,炜岸城一期 
37,招商依云上城一期 
38,凯德卓锦万黛 
39,四季映像 
40,艺锦湾一期 
41,自由假日 
42,温馨苑 
43,瑞应苑 
44,世茂城三期 
45,美宸东方 
46,欧鹏大道77号 
47,林溪康城 
48,丽阳晶舍 
49,足球村 
50,御嶺春天 
51,寰宇君汇城 
52,劲力蓝色理想 
53,格调城 
54,驿都公寓 
55,金科东方雅郡 
56,百悦城四期 
57,华川小区 
58,林溪美城 
59,翠晨记 
60,金山御景蓝湾 
61,优诗美地 
62,东麓驿境三期 
63,炜岸城三期 
64,恒大绿洲 
65,书香雅筑 
66,航天城甲一区 
67,来龙名苑 
68,琥珀庭院 
69,保利玫瑰花语 
70,格兰鼎城 
71,艺锦湾五期 
72,陶然精舍 
73,招商依云上城二期 
74,天府逸家二期 
75,桃花源别墅 
76,皇冠国际社区三期 
77,东原晴天见 
78,金山花园(阳光城幸福路) 
79,五角大楼 
80,艺锦湾四期 
81,华润国际社区 
82,蓝光公园华府 
83,皇冠国际社区一期 
84,龙锦 
85,山水四季城 
86,建设路125号 
87,万科金色城品 
88,东山国际新城C区 
89,世茂城一期 
90,御源大湖区 
91,现代新居E区 
92,新新家园 
93,隆基泰和铂悦山 
94,万科金色城市二期 
95,四季康城 
96,万科金色城市 
97,壹中心 
98,银河花园二期 
99,武城大观城市花园二期 
100,上东阳光三期 
101,龙湖三千庭 
102,招商依云上城三期 
103,华润云庭 
104,现代新居C区 
105,保利紫薇花语 
106,利通天鹅堡 
107,中海御湖世家西区 
108,天悦龙栖台 
109,上东阳光艾特公馆 
110,春秋名邸 
111,航天北路丁区 
112,融创天府逸家三期 
113,怡和新城A区 
114,商业后街1号 
115,龙都国际 
116,龙华二期C区 
117,学林 
118,天赋龙庭 
119,龙博御景 
120,成大花园 
121,中国铁建国际城 
122,师大现代花园 
123,丽阳雅筑 
124,首创万卷山 
125,九峰·东方明珠 
126,驿马桥小区 
127,天兴小区 
128,天盛花苑 
129,恋日家园G区 
130,东域龙湾二期 
131,航天医院家属区 
132,书香雅舍 
133,金巴黎 
134,上东阳光一期 
135,银河花园 
136,龙湖中骏光明.璟悦天著 
137,中粮御嶺湾 
138,鹏城金龙美景 
139,炬星柠檬城 
140,卧龙谷壹号 
141,银诚东方国际一期 
142,农行宿舍 
143,皇冠国际社区二期 
144,城市家园 
145,怡和新城B区 
146,航天中区 
147,海亮彩悦府 
148,书南小区 
149,霏红榭 
150,东韵雅园 
151,月楿丽苑 
152,尚成东锦 
153,悦龙山 
154,武城大观城市花园一期 
155,合谊乐湖 
156,华润未来之城一期 
157,恋日家园C区 
158,兴唐中心城 
159,龙华二期D区 
160,陵川社区 
161,金色逸景 
162,东景康庭 
163,富力山水人家 
164,格兰玺城 
165,竹林尚书 
166,平安家园二期 
167,御岭春天三期 
168,东山国际新城H区三期 
169,五星蕊园 
170,今典小区 
171,上东阳光美悦林 
172,棕榈印象 
173,朗基紫境东来 
174,龙腾东麓城 
175,上龙门 
176,怡和新城D区 
177,桃园二区 
178,金税苑 
179,东方虹花苑 
180,驿生路50号 
181,金色海岸 
182,农发局宿舍 
183,格林大道 
184,招商依云上城四期 
185,新园二期 
186,花香龙都 
187,绿地新城新里桃溪川 
188,千和意境 
189,瑞临锦苑 
190,东方华美苑 
191,陶然村一区 
192,艺锦湾二期 
193,九鼎小区 
194,驿都小区 
195,怡和新城D2区 
196,东麓驿境二期 
197,桃都印象 
198,观澜东山 
199,华侨公寓 
200,名景花园一期 
201,合龙街29号小区 
202,东山领地 
203,新驿村2号 
204,阳光印象 
205,嘉合苑 
206,美丰花苑 
207,旺府凯旋门 
208,阳光假日 
209,龙鑫小区 
210,西龙公寓 
211,事和苑 
212,舜元桃源铭 
213,灵龙路166号 
214,东方家园 
215,龙华二期B区 
216,世纪苑一期 
217,绿林书院 
218,汇丰苑 
219,东方魅力水云涧 
220,中天滨河名邸 
221,卫生局宿舍 
222,观景上东 
223,东山国际新城A区 
224,东山国际新城B区 
225,灵龙路20号 
226,懋山湖 
227,佳春苑 
228,金龙大厦 
229,保安寺路13号 
230,天生路155号 
231,苗溪公寓 
232,天盛商务中心 
233,森邻香堤二期 
234,京龙嘉苑 
235,丽阳嘉园 
236,景华苑 
237,东山国际新城H区一期 
238,通达二期 
239,天府逸家一期 
240,恋日家园E区 
241,丽泉江南 
242,永苑 
243,玺印上院 
244,国一澳乡 
245,玉带花苑 
246,阳光花苑 
247,香水城 
248,龙祥苑(龙泉驿) 
249,金色新时代 
250,康居兴苑 
251,雅竹苑(龙泉驿) 
252,石油小区 
253,龙泉地税局宿舍 
254,新驿步行街二段7号小区 
255,建设路250号 
256,左岸名都 
257,欧鹏大道113号 
258,东山国际新城H区二期 
259,首开龙湖景粼玖序二期 
260,天地晨光丽景 
261,枫林左岸 
262,警苑 
263,人民法院宿舍 
264,滨河苑小区 
265,兴业街55号 
266,文豪世苑 
267,华润置地时代之城一期 
268,友谊路68号 
269,龙樾（二手） 
270,好日子花园东区 
271,龙泉北干道派出所宿舍 
272,怡和新居二期 
273,书房新邨 
274,世外桃源 
275,信用社宿舍 
276,四方生态花园 
277,东山国际新城E区 
278,玉龙山庄 
279,天盛驿都锦绣 
280,教育局宿舍 
281,慧生时代广场 
282,航天城甲三区 
283,东麓驿境一期 
284,金色极地 
285,东麓驿境五期 
286,龙锦湾 
287,龙锦花苑 
288,盛世中华 
289,江华社区 
290,十陵上街20号 
291,花样年华常青藤 
292,万鸿城市花园 
293,明蜀新村 
294,兴业街118号 
295,博客小镇 
296,合能珍宝玲珑 
297,龙华二期A区 
298,新驿步行街29号 
299,东方华大广场 
300,中海御湖世家东区 
301,吉祥花园 
302,佳园(龙泉驿) 
303,成都信息工程大学家属院 
304,驿丰步行街111号 
305,东域龙湾一期 
306,驿丰苑二小区 
307,金山花园(滨河路) 
308,昂世半山观邸 
309,蔚蓝花城A区 
