,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,嘉美地 2室1厅 东,"['嘉美地 ', '华府']",109,"18,382元/平",2室1厅 | 59.3平米 | 东 | 精装 | 中楼层(共26层)  | 板塔结合,5人关注 / 一年前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106111726094.html
1,成都新天地二期春天里 2室1厅 东,"['成都新天地二期春天里 ', '航空港']",109,"15,752元/平",2室1厅 | 69.2平米 | 东 | 精装 | 高楼层(共25层)  | 板塔结合,3人关注 / 6个月以前发布,"['近地铁', 'VR房源', '房本满五年']",https://cd.lianjia.com/ershoufang/106116223400.html
2,三强南路一段144号 3室2厅 西北,"['三强南路一段144号 ', '东升镇']",68,"7,069元/平",3室2厅 | 96.2平米 | 西北 | 简装 | 低楼层(共3层)  | 暂无数据,2人关注 / 20天以前发布,"['近地铁', 'VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106118135147.html
3,万锦城 3室1厅 西南,"['万锦城 ', '华府']",161,"17,196元/平",3室1厅 | 93.63平米 | 西南 | 精装 | 低楼层(共34层)  | 板塔结合,21人关注 / 10个月以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106114646406.html
4,中铁骑士府邸 3室1厅 南 西南,"['中铁骑士府邸 ', '华府']",176,"19,431元/平",3室1厅 | 90.58平米 | 南 西南 | 精装 | 高楼层(共32层) | 2019年 | 板塔结合,2人关注 / 5个月以前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116285413.html
5,金座威尼谷 5室2厅 南,"['金座威尼谷 ', '东升镇']",230,"16,619元/平",5室2厅 | 138.4平米 | 南 | 毛坯 | 中楼层(共17层)  | 板塔结合,2人关注 / 2个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117431304.html
6,中海右岸 5室2厅 东南,"['中海右岸 ', '华府']",335,"21,247元/平",5室2厅 | 157.67平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,2人关注 / 5个月以前发布,"['近地铁', 'VR房源', '房本满五年']",https://cd.lianjia.com/ershoufang/106116589026.html
7,王府花园御锦苑 3室1厅 东南,"['王府花园御锦苑 ', '东升镇']",173,"15,511元/平",3室1厅 | 111.54平米 | 东南 | 毛坯 | 中楼层(共15层) | 2020年 | 板塔结合,5人关注 / 1个月以前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117732567.html
8,通瑞月光湖 3室2厅 东北,"['通瑞月光湖 ', '公兴']",139,"12,637元/平",3室2厅 | 110平米 | 东北 | 简装 | 中楼层(共28层)  | 塔楼,5人关注 / 一年前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106112791067.html
9,弘民苑B区 3室1厅 东南 南,"['弘民苑B区 ', '东升镇']",75,"7,689元/平",3室1厅 | 97.55平米 | 东南 南 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 1个月以前发布,"['近地铁', 'VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117626906.html
10,保利叶语 3室2厅 南,"['保利叶语 ', '华府']",149,"18,059元/平",3室2厅 | 82.51平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,5人关注 / 1个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117649127.html
11,蓝光圣菲TOWN城 3室2厅 东南,"['蓝光圣菲TOWN城 ', '航空港']",128,"11,871元/平",3室2厅 | 107.83平米 | 东南 | 简装 | 低楼层(共22层)  | 塔楼,11人关注 / 一年前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106109770492.html
12,阳光地中海 2室2厅 南,"['阳光地中海 ', '航空港']",102,"11,714元/平",2室2厅 | 87.08平米 | 南 | 精装 | 高楼层(共15层)  | 塔楼,1人关注 / 19天以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106118147565.html
13,路桥二分公司宿舍 3室1厅 南 北,"['路桥二分公司宿舍 ', '东升镇']",75,"6,351元/平",3室1厅 | 118.1平米 | 南 北 | 简装 | 高楼层(共6层)  | 塔楼,1人关注 / 30天以前发布,"['近地铁', 'VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106118001026.html
14,尚港领地 4室2厅 南 北,"['尚港领地 ', '文星镇']",120.5,"10,750元/平",4室2厅 | 112.1平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 30天以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117999238.html
15,中海右岸 3室2厅 南,"['中海右岸 ', '华府']",206,"19,215元/平",3室2厅 | 107.21平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,18人关注 / 5个月以前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116287817.html
16,中海右岸 3室2厅 东南,"['中海右岸 ', '华府']",222,"19,205元/平",3室2厅 | 115.6平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合,10人关注 / 9个月以前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106114949722.html
17,中海右岸 3室2厅 东,"['中海右岸 ', '华府']",189,"18,508元/平",3室2厅 | 102.12平米 | 东 | 精装 | 高楼层(共26层)  | 塔楼,6人关注 / 7个月以前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115744146.html
18,美城云庭 3室2厅 西,"['美城云庭 ', '华府']",206,"17,831元/平",3室2厅 | 115.53平米 | 西 | 精装 | 低楼层(共33层)  | 板塔结合,9人关注 / 一年前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106113984993.html
19,华银美景 2室1厅 东南,"['华银美景 ', '华府']",130,"16,400元/平",2室1厅 | 79.27平米 | 东南 | 精装 | 高楼层(共18层)  | 板塔结合,3人关注 / 5个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116380817.html
20,中海右岸 3室1厅 南,"['中海右岸 ', '华府']",175,"21,528元/平",3室1厅 | 81.29平米 | 南 | 简装 | 高楼层(共33层)  | 板塔结合,3人关注 / 28天以前发布,"['近地铁', 'VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106118035680.html
21,和贵久居福 3室2厅 南 北,"['和贵久居福 ', '航空港']",125,"11,194元/平",3室2厅 | 111.67平米 | 南 北 | 简装 | 高楼层(共18层)  | 塔楼,7人关注 / 一年前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106112683690.html
22,蓝光长岛国际二期 4室2厅 东,"['蓝光长岛国际二期 ', '蛟龙港']",188,"13,082元/平",4室2厅 | 143.71平米 | 东 | 精装 | 高楼层(共22层) | 2020年 | 板塔结合,2人关注 / 27天以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106118036118.html
23,蓝光圣菲TOWN城 3室1厅 西南,"['蓝光圣菲TOWN城 ', '航空港']",155,"14,070元/平",3室1厅 | 110.17平米 | 西南 | 毛坯 | 低楼层(共22层)  | 塔楼,7人关注 / 6个月以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106115959262.html
24,美好家园 4室2厅 西北,"['美好家园 ', '航空港']",248,"14,283元/平",4室2厅 | 173.64平米 | 西北 | 毛坯 | 中楼层(共13层)  | 板塔结合,3人关注 / 31天以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117984108.html
25,中铁骑士府邸 3室2厅 西,"['中铁骑士府邸 ', '华府']",129,"17,706元/平",3室2厅 | 72.86平米 | 西 | 简装 | 中楼层(共32层)  | 板塔结合,6人关注 / 5个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116379474.html
26,三里花城 3室2厅 南,"['三里花城 ', '双流城区']",154,"14,457元/平",3室2厅 | 106.53平米 | 南 | 毛坯 | 低楼层(共15层)  | 塔楼,3人关注 / 5个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106116522594.html
27,四季金悦 3室1厅 南,"['四季金悦 ', '蛟龙港']",115,"13,788元/平",3室1厅 | 83.41平米 | 南 | 简装 | 低楼层(共12层) | 2016年 | 板塔结合,1人关注 / 4个月以前发布,"['近地铁', 'VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106116670552.html
28,中铁骑士府邸 3室2厅 南,"['中铁骑士府邸 ', '华府']",172,"18,091元/平",3室2厅 | 95.08平米 | 南 | 精装 | 低楼层(共32层) | 2019年 | 板塔结合,13人关注 / 21天以前发布,"['近地铁', 'VR房源', '随时看房']",https://cd.lianjia.com/ershoufang/106118122242.html
29,威兰德小镇 3室1厅 东,"['威兰德小镇 ', '东升镇']",93,"11,940元/平",3室1厅 | 77.89平米 | 东 | 精装 | 高楼层(共26层)  | 塔楼,7人关注 / 1个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117931566.html
