,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,云上旅游度假区 2室2厅 南,"['云上旅游度假区 ', '大邑']",180,"19,714元/平",2室2厅 | 91.31平米 | 南 | 毛坯 | 低楼层(共1层) | 2019年 | 暂无数据,1人关注 / 1个月以前发布,"['VR房源', '随时看房']",https://cd.lianjia.com/ershoufang/106117737267.html
1,云上旅游度假区 3室2厅 南 北,"['云上旅游度假区 ', '大邑']",240,"18,229元/平",3室2厅 | 131.66平米 | 南 北 | 其他 | 低楼层(共1层) | 2019年 | 板楼,2人关注 / 7个月以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115801275.html
2,云上旅游度假区 2室2厅 南,"['云上旅游度假区 ', '大邑']",245,"26,832元/平",2室2厅 | 91.31平米 | 南 | 精装 | 低楼层(共1层)  | 板楼,3人关注 / 一年前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106111975526.html
3,幸福公社二期 1室1厅 东南,"['幸福公社二期 ', '大邑']",48,"9,741元/平",1室1厅 | 49.28平米 | 东南 | 精装 | 低楼层(共3层)  | 板塔结合,11人关注 / 10个月以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106114741134.html
4,幸福公社二期 2室2厅 东南,"['幸福公社二期 ', '大邑']",65,"11,428元/平",2室2厅 | 56.88平米 | 东南 | 其他 | 低楼层(共3层) | 2023年 | 暂无数据,0人关注 / 4个月以前发布,VR房源,https://cd.lianjia.com/ershoufang/106116984140.html
5,幸福公社二期 1室2厅 南,"['幸福公社二期 ', '大邑']",20.8,"6,560元/平",1室2厅 | 31.71平米 | 南 | 毛坯 | 低楼层(共3层) | 2018年 | 板塔结合,192人关注 / 一年前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106110773522.html
6,幸福公社二期 4室3厅 东南,"['幸福公社二期 ', '大邑']",113,"18,369元/平",4室3厅 | 61.52平米 | 东南 | 其他 | 低楼层(共3层) | 2023年 | 板楼,0人关注 / 7个月以前发布,"['VR房源', '随时看房']",https://cd.lianjia.com/ershoufang/106115691404.html
7,幸福公社二期 2室0厅 东南,"['幸福公社二期 ', '大邑']",32.9,"10,386元/平",2室0厅 | 31.68平米 | 东南 | 其他 | 低楼层(共3层) | 2018年 | 板塔结合,11人关注 / 一年前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106108743972.html
8,青霞山水卡伦德拉小镇 4室2厅 南 北,"['青霞山水卡伦德拉小镇 ', '大邑']",110,"6,399元/平",4室2厅 | 171.92平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,8人关注 / 6个月以前发布,"['VR房源', '房本满五年']",https://cd.lianjia.com/ershoufang/106116186290.html
9,幸福公社二期 1室1厅 南,"['幸福公社二期 ', '大邑']",52,"10,552元/平",1室1厅 | 49.28平米 | 南 | 其他 | 低楼层(共3层) | 2017年 | 塔楼,3人关注 / 11个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106114455444.html
10,幸福公社二期 1室1厅 东南,"['幸福公社二期 ', '大邑']",29,"9,155元/平",1室1厅 | 31.68平米 | 东南 | 毛坯 | 低楼层(共3层) | 2017年 | 板塔结合,3人关注 / 11个月以前发布,"['VR房源', '随时看房']",https://cd.lianjia.com/ershoufang/106114527868.html
11,云上旅游度假区 3室2厅 东南,"['云上旅游度假区 ', '大邑']",360,"27,344元/平",3室2厅 | 131.66平米 | 东南 | 其他 | 低楼层(共1层)  | 板楼,0人关注 / 4个月以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116884768.html
12,幸福公社二期 2室1厅 东北,"['幸福公社二期 ', '大邑']",79,"13,484元/平",2室1厅 | 58.59平米 | 东北 | 其他 | 低楼层(共3层) | 2023年 | 板塔结合,0人关注 / 1个月以前发布,"['VR房源', '随时看房']",https://cd.lianjia.com/ershoufang/106117708210.html
13,幸福公社二期 2室1厅 北,"['幸福公社二期 ', '大邑']",75,"12,760元/平",2室1厅 | 58.78平米 | 北 | 毛坯 | 低楼层(共3层)  | 板塔结合,2人关注 / 一年前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106113866458.html
14,幸福公社二期 1室1厅 东南,"['幸福公社二期 ', '大邑']",53,"8,863元/平",1室1厅 | 59.8平米 | 东南 | 毛坯 | 低楼层(共3层) | 2018年 | 板塔结合,4人关注 / 7个月以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115666277.html
15,幸福公社二期 1室1厅 东南,"['幸福公社二期 ', '大邑']",45,"14,205元/平",1室1厅 | 31.68平米 | 东南 | 精装 | 低楼层(共3层) | 2017年 | 板塔结合,1人关注 / 11个月以前发布,"['VR房源', '随时看房']",https://cd.lianjia.com/ershoufang/106114527962.html
16,云上旅游度假区 2室1厅 东,"['云上旅游度假区 ', '大邑']",176,"20,230元/平",2室1厅 | 87平米 | 东 | 其他 | 低楼层(共1层)  | 板楼,1人关注 / 1个月以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117849537.html
17,幸福公社二期 1室1厅 西南,"['幸福公社二期 ', '大邑']",30,"9,470元/平",1室1厅 | 31.68平米 | 西南 | 其他 | 低楼层(共3层) | 2017年 | 板塔结合,2人关注 / 6个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116162116.html
18,幸福公社二期 1室2厅 南 北,"['幸福公社二期 ', '大邑']",60,"11,224元/平",1室2厅 | 53.46平米 | 南 北 | 毛坯 | 低楼层(共3层) | 2017年 | 板塔结合,14人关注 / 一年前发布,"['VR看装修', '房本满两年']",https://cd.lianjia.com/ershoufang/106114285032.html
19,幸福公社二期 1室1厅 西南,"['幸福公社二期 ', '大邑']",50,"9,362元/平",1室1厅 | 53.41平米 | 西南 | 其他 | 低楼层(共3层) | 2017年 | 板塔结合,1人关注 / 6个月以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116162065.html
20,青霞山水卡伦德拉小镇 3室2厅 南,"['青霞山水卡伦德拉小镇 ', '大邑']",79,"8,115元/平",3室2厅 | 97.36平米 | 南 | 其他 | 低楼层(共4层) | 2015年 | 板塔结合,2人关注 / 11个月以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106114416805.html
21,幸福公社二期 1室1厅 东南,"['幸福公社二期 ', '大邑']",28,"8,778元/平",1室1厅 | 31.9平米 | 东南 | 其他 | 低楼层(共3层) | 2023年 | 板塔结合,9人关注 / 一年前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106113960585.html
