,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,中海锦江城云熙二期 2室1厅 东南,"['中海锦江城云熙二期 ', '锦江生态带']",165,"21,945元/平",2室1厅 | 75.19平米 | 东南 | 精装 | 低楼层(共50层)  | 塔楼,2人关注 / 1个月以前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117614276.html
1,远光水印城 3室2厅 东北,"['远光水印城 ', '四河']",162,"13,765元/平",3室2厅 | 117.69平米 | 东北 | 精装 | 中楼层(共33层)  | 板塔结合,4人关注 / 5个月以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116323035.html
2,蓝岸丽景 2室2厅 东南,"['蓝岸丽景 ', '华阳']",125,"13,526元/平",2室2厅 | 92.42平米 | 东南 | 精装 | 中楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106112539928.html
3,远大中央公园三期 3室1厅 东北,"['远大中央公园三期 ', '南湖']",229,"19,664元/平",3室1厅 | 116.46平米 | 东北 | 精装 | 高楼层(共33层) | 2021年 | 塔楼,5人关注 / 1个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106117678894.html
4,远大中央公园三期 3室2厅 西北,"['远大中央公园三期 ', '南湖']",228,"20,000元/平",3室2厅 | 114平米 | 西北 | 精装 | 低楼层(共33层)  | 塔楼,14人关注 / 6个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116027848.html
5,合能枫丹铂麓三期 4室2厅 南,"['合能枫丹铂麓三期 ', '麓山']",215,"15,002元/平",4室2厅 | 143.32平米 | 南 | 毛坯 | 中楼层(共10层) | 2020年 | 板楼,17人关注 / 一年前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106113993237.html
6,成南领寓 2室1厅 东南 西南,"['成南领寓 ', '南湖']",65,"10,361元/平",2室1厅 | 62.74平米 | 东南 西南 | 简装 | 中楼层(共31层)  | 塔楼,28人关注 / 一年前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106110893534.html
7,华贵苑 3室2厅 南,"['华贵苑 ', '南湖']",108,"8,979元/平",3室2厅 | 120.29平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,5人关注 / 10个月以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106114657457.html
8,中铁诺德·观湖轩 3室2厅 南,"['中铁诺德·观湖轩 ', '麓山']",160,"15,292元/平",3室2厅 | 104.63平米 | 南 | 毛坯 | 低楼层(共32层) | 2019年 | 板塔结合,7人关注 / 1个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117835753.html
9,远大中央公园 3室2厅 南,"['远大中央公园 ', '南湖']",180,"17,580元/平",3室2厅 | 102.39平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,34人关注 / 一年前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106110948613.html
10,奥园公园府邸 3室1厅 南,"['奥园公园府邸 ', '华阳']",225,"21,788元/平",3室1厅 | 103.27平米 | 南 | 精装 | 低楼层(共34层) | 2020年 | 板塔结合,29人关注 / 一年前发布,"['近地铁', 'VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106113170326.html
11,向阳小区 3室2厅 南,"['向阳小区 ', '南湖']",110,"9,650元/平",3室2厅 | 113.99平米 | 南 | 简装 | 低楼层(共6层) | 2000年 | 板楼,2人关注 / 6个月以前发布,"['VR房源', '随时看房']",https://cd.lianjia.com/ershoufang/106115963867.html
12,中铁诺德·观湖轩 3室2厅 南 北,"['中铁诺德·观湖轩 ', '麓山']",165,"14,803元/平",3室2厅 | 111.47平米 | 南 北 | 毛坯 | 中楼层(共32层) | 2019年 | 板塔结合,3人关注 / 一年前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106112895286.html
13,蔚蓝阁B区 4室2厅 北,"['蔚蓝阁B区 ', '麓湖生态城']",580,"32,064元/平",4室2厅 | 180.89平米 | 北 | 毛坯 | 高楼层(共38层)  | 板塔结合,13人关注 / 9个月以前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106114995696.html
