,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,嘉裕第六洲悠泊屿 3室2厅 东南,"['嘉裕第六洲悠泊屿 ', '崇州']",65.5,"5,459元/平",3室2厅 | 120平米 | 东南 | 毛坯 | 低楼层(共9层)  | 板楼,5人关注 / 一年前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106110633801.html
1,西蜀御景 2室1厅 东南,"['西蜀御景 ', '崇州']",39.6,"5,101元/平",2室1厅 | 77.64平米 | 东南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117424962.html
2,嘉裕第六洲观澜云邸 3室1厅 南,"['嘉裕第六洲观澜云邸 ', '崇州']",53,"5,344元/平",3室1厅 | 99.19平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106116917819.html
3,花样年智荟城 3室2厅 东南,"['花样年智荟城 ', '崇州']",85,"7,915元/平",3室2厅 | 107.4平米 | 东南 | 精装 | 中楼层(共20层)  | 板塔结合,5人关注 / 一年前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106113396675.html
4,恒大银海湖 3室2厅 东南,"['恒大银海湖 ', '崇州']",58.8,"6,415元/平",3室2厅 | 91.67平米 | 东南 | 精装 | 中楼层(共32层) | 2019年 | 暂无数据,3人关注 / 5个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116276944.html
5,锦悦经典西悦城 3室2厅 东南,"['锦悦经典西悦城 ', '崇州']",48,"5,050元/平",3室2厅 | 95.06平米 | 东南 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 3个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106117358232.html
6,青城神韵一期 1室1厅 东南,"['青城神韵一期 ', '街子古镇']",28,"6,431元/平",1室1厅 | 43.54平米 | 东南 | 其他 | 中楼层(共4层)  | 板楼,3人关注 / 5个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116248238.html
7,嘉裕第六洲悠泊屿 3室1厅 西南,"['嘉裕第六洲悠泊屿 ', '崇州']",86.8,"7,290元/平",3室1厅 | 119.07平米 | 西南 | 精装 | 中楼层(共9层)  | 板楼,2人关注 / 1个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117699478.html
8,中铁汉嘉御景 3室2厅 南 北,"['中铁汉嘉御景 ', '崇州']",70,"7,274元/平",3室2厅 | 96.24平米 | 南 北 | 精装 | 高楼层(共6层) | 2015年 | 板塔结合,1人关注 / 8个月以前发布,"['VR看装修', '房本满两年']",https://cd.lianjia.com/ershoufang/106115303570.html
9,恒大银海湖 3室2厅 东南,"['恒大银海湖 ', '崇州']",69,"6,110元/平",3室2厅 | 112.94平米 | 东南 | 精装 | 高楼层(共32层) | 2020年 | 板楼,0人关注 / 8个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115494682.html
10,隐溪谷 3室1厅 南,"['隐溪谷 ', '崇州']",68,"6,965元/平",3室1厅 | 97.64平米 | 南 | 精装 | 中楼层(共6层) | 2019年 | 板楼,1人关注 / 8个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115311980.html
11,嘉裕第六洲蝴蝶谷 3室1厅 南,"['嘉裕第六洲蝴蝶谷 ', '崇州']",66,"5,149元/平",3室1厅 | 128.2平米 | 南 | 毛坯 | 高楼层(共11层) | 2020年 | 板楼,0人关注 / 21天以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106118125375.html
12,嘉裕第六洲观澜云邸 3室2厅 西南,"['嘉裕第六洲观澜云邸 ', '崇州']",54,"4,868元/平",3室2厅 | 110.94平米 | 西南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 15天以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106118199779.html
