,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,置信逸景苑 2室2厅 东,"['置信逸景苑 ', '彭州']",59.8,"8,304元/平",2室2厅 | 72.02平米 | 东 | 简装 | 中楼层(共26层) | 2013年 | 板塔结合,0人关注 / 一年前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106113418889.html
1,昌建星悦城 3室2厅 南,"['昌建星悦城 ', '彭州']",86.8,"8,187元/平",3室2厅 | 106.03平米 | 南 | 精装 | 低楼层(共32层) | 2019年 | 塔楼,0人关注 / 1个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117928040.html
2,牡丹名城 3室2厅 南,"['牡丹名城 ', '彭州']",106,"10,297元/平",3室2厅 | 102.95平米 | 南 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 5个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116574331.html
3,国色天香 3室2厅 南,"['国色天香 ', '彭州']",67.5,"7,568元/平",3室2厅 | 89.2平米 | 南 | 简装 | 低楼层(共6层)  | 塔楼,8人关注 / 一年前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106109326560.html
4,上升街19号小区 2室1厅 南,"['上升街19号小区 ', '彭州']",28,"4,409元/平",2室1厅 | 63.52平米 | 南 | 精装 | 高楼层(共4层) | 1984年 | 板塔结合,0人关注 / 6个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116120305.html
5,航利星海湾 3室1厅 南,"['航利星海湾 ', '彭州']",69.8,"5,274元/平",3室1厅 | 132.37平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 7个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115835537.html
6,天立世纪华府 2室1厅 西北,"['天立世纪华府 ', '彭州']",51,"6,141元/平",2室1厅 | 83.05平米 | 西北 | 其他 | 高楼层(共30层) | 2018年 | 塔楼,0人关注 / 30天以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106118001648.html
7,温哥华牡丹花园小区 3室1厅 东南 南,"['温哥华牡丹花园小区 ', '彭州']",71,"5,858元/平",3室1厅 | 121.22平米 | 东南 南 | 毛坯 | 低楼层(共21层) | 2019年 | 板塔结合,11人关注 / 一年前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106110695222.html
8,丰顺苑 3室2厅 东南,"['丰顺苑 ', '彭州']",61.6,"5,960元/平",3室2厅 | 103.36平米 | 东南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 5个月以前发布,"['VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106116338490.html
9,紫光兴城(彭州) 2室2厅 西,"['紫光兴城(彭州) ', '彭州']",61,"7,869元/平",2室2厅 | 77.52平米 | 西 | 精装 | 中楼层(共18层) | 2016年 | 板塔结合,0人关注 / 1个月以前发布,"['VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106117881011.html
10,西海东街25号 3室2厅 南 北,"['西海东街25号 ', '彭州']",49,"6,239元/平",3室2厅 | 78.54平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 25天以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106118064487.html
11,置信丹郡湖岸 3室2厅 西北,"['置信丹郡湖岸 ', '彭州']",74,"8,714元/平",3室2厅 | 84.93平米 | 西北 | 精装 | 高楼层(共32层) | 2016年 | 板楼,1人关注 / 11个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106114523503.html
12,置信逸都丹郡C区 3室2厅 东北,"['置信逸都丹郡C区 ', '彭州']",85,"6,705元/平",3室2厅 | 126.78平米 | 东北 | 简装 | 高楼层(共11层)  | 塔楼,0人关注 / 7个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106115900471.html
13,置信逸都丹郡A区 2室2厅 南,"['置信逸都丹郡A区 ', '彭州']",69.8,"7,772元/平",2室2厅 | 89.81平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,0人关注 / 1个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117831648.html
14,丹郡兰庭 2室1厅 西南,"['丹郡兰庭 ', '彭州']",57.2,"7,356元/平",2室1厅 | 77.77平米 | 西南 | 精装 | 中楼层(共32层) | 2018年 | 暂无数据,0人关注 / 7个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115683596.html
15,铧炉景园 2室2厅 东,"['铧炉景园 ', '彭州']",58,"7,185元/平",2室2厅 | 80.73平米 | 东 | 简装 | 低楼层(共11层) | 2015年 | 暂无数据,0人关注 / 31天以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117994907.html
16,华润置地理想之城 3室2厅 南,"['华润置地理想之城 ', '彭州']",82.8,"7,406元/平",3室2厅 | 111.81平米 | 南 | 毛坯 | 中楼层(共23层) | 2021年 | 板塔结合,0人关注 / 1个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106117965488.html
17,紫光兴城(彭州) 3室2厅 北,"['紫光兴城(彭州) ', '彭州']",88,"7,565元/平",3室2厅 | 116.33平米 | 北 | 其他 | 中楼层(共11层)  | 暂无数据,2人关注 / 9个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106115245533.html
18,龙安社区六组110号 2室2厅 东北,"['龙安社区六组110号 ', '彭州']",29.8,"3,782元/平",2室2厅 | 78.8平米 | 东北 | 简装 | 高楼层(共7层) | 2011年 | 板塔结合,0人关注 / 3个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117196889.html
19,紫御兰庭 2室2厅 北,"['紫御兰庭 ', '彭州']",68,"7,365元/平",2室2厅 | 92.34平米 | 北 | 毛坯 | 中楼层(共16层) | 2021年 | 塔楼,0人关注 / 一年前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106113380393.html
