,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,天空城 3室2厅 东南,"['天空城 ', '万年场']",178,"15,084元/平",3室2厅 | 118.01平米 | 东南 | 精装 | 中楼层(共28层)  | 板塔结合,37人关注 / 一年前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106113763643.html
1,东林景忆 1室1厅 南,"['东林景忆 ', '动物园']",49.5,"10,177元/平",1室1厅 | 48.64平米 | 南 | 简装 | 中楼层(共18层) | 2018年 | 板楼,6人关注 / 10个月以前发布,VR看装修,https://cd.lianjia.com/ershoufang/106114890438.html
2,新山复郡 1室1厅 南,"['新山复郡 ', '动物园']",38.8,"7,903元/平",1室1厅 | 49.1平米 | 南 | 毛坯 | 中楼层(共11层)  | 塔楼,8人关注 / 8个月以前发布,VR看装修,https://cd.lianjia.com/ershoufang/106115279257.html
3,华宇旭辉锦绣花城 3室2厅 西南,"['华宇旭辉锦绣花城 ', '龙潭寺']",159,"15,881元/平",3室2厅 | 100.12平米 | 西南 | 其他 | 中楼层(共31层)  | 板塔结合,1人关注 / 7个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115788763.html
4,汇融名城A区 2室1厅 西 西北,"['汇融名城A区 ', '李家沱']",115,"17,106元/平",2室1厅 | 67.23平米 | 西 西北 | 精装 | 中楼层(共18层)  | 塔楼,2人关注 / 5个月以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116362476.html
5,时代欣城 3室2厅 东,"['时代欣城 ', '龙潭寺']",121.8,"14,158元/平",3室2厅 | 86.03平米 | 东 | 精装 | 高楼层(共28层)  | 板塔结合,8人关注 / 4个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116665897.html
6,双林中横路8号 2室1厅 西南 东北,"['双林中横路8号 ', '新华公园']",56,"10,851元/平",2室1厅 | 51.61平米 | 西南 东北 | 简装 | 高楼层(共6层)  | 板楼,10人关注 / 6个月以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116033862.html
7,华润二十四城六期 3室2厅 南,"['华润二十四城六期 ', '万象城']",285,"29,430元/平",3室2厅 | 96.84平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 2个月以前发布,"['近地铁', 'VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106117371096.html
8,胜天人居 2室2厅 南,"['胜天人居 ', '万年场']",90,"10,891元/平",2室2厅 | 82.64平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,4人关注 / 11个月以前发布,"['VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106114474848.html
9,荣盛香榭兰庭一期 3室2厅 东,"['荣盛香榭兰庭一期 ', '东客站']",169,"19,709元/平",3室2厅 | 85.75平米 | 东 | 精装 | 低楼层(共29层)  | 塔楼,19人关注 / 一年前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106113741386.html
10,东林小区 2室1厅 东南,"['东林小区 ', '动物园']",72,"10,328元/平",2室1厅 | 69.72平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 3个月以前发布,"['近地铁', 'VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106117323523.html
11,四川电力建设二公司 2室1厅 东南 西南,"['四川电力建设二公司 ', '万年场']",76,"11,066元/平",2室1厅 | 68.68平米 | 东南 西南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 1个月以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117875382.html
12,二环路北四段4号 2室1厅 东南,"['二环路北四段4号 ', '李家沱']",69,"13,661元/平",2室1厅 | 50.51平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 31天以前发布,"['近地铁', 'VR看装修', '房本满两年']",https://cd.lianjia.com/ershoufang/106117991345.html
13,民兴南苑 1室1厅 东南,"['民兴南苑 ', '理工大']",55,"10,709元/平",1室1厅 | 51.36平米 | 东南 | 简装 | 高楼层(共18层)  | 塔楼,3人关注 / 5个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106116349276.html
14,花样年花郡 2室1厅 南,"['花样年花郡 ', '万象城']",122,"14,246元/平",2室1厅 | 85.64平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,22人关注 / 10个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106114608101.html
15,富临理宫 3室1厅 东北,"['富临理宫 ', '理工大']",163,"19,496元/平",3室1厅 | 83.61平米 | 东北 | 精装 | 中楼层(共32层)  | 板楼,3人关注 / 6个月以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116039575.html
16,水映兰庭 3室2厅 东南,"['水映兰庭 ', '李家沱']",186,"22,568元/平",3室2厅 | 82.42平米 | 东南 | 简装 | 中楼层(共26层)  | 塔楼,11人关注 / 一年前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106112927070.html
17,领地海纳时代 3室1厅 东,"['领地海纳时代 ', '动物园']",125,"16,067元/平",3室1厅 | 77.8平米 | 东 | 简装 | 中楼层(共34层)  | 塔楼,2人关注 / 6个月以前发布,"['VR房源', '房本满五年']",https://cd.lianjia.com/ershoufang/106116028649.html
18,双林路26号 3室1厅 南,"['双林路26号 ', '新华公园']",63.8,"9,219元/平",3室1厅 | 69.21平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,11人关注 / 8个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106115291576.html
19,华润二十四城七期 3室2厅 东北,"['华润二十四城七期 ', '万象城']",279,"27,627元/平",3室2厅 | 100.99平米 | 东北 | 简装 | 中楼层(共41层)  | 板塔结合,12人关注 / 6个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116197374.html
20,恒大锦城 3室1厅 东南,"['恒大锦城 ', '龙潭寺']",152,"13,022元/平",3室1厅 | 116.73平米 | 东南 | 精装 | 中楼层(共37层) | 2020年 | 板塔结合,9人关注 / 一年前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106113858737.html
21,理工南苑 3室2厅 南,"['理工南苑 ', '理工大']",118,"11,394元/平",3室2厅 | 103.57平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,6人关注 / 10个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106114661813.html
22,金科一城 2室1厅 南 北,"['金科一城 ', '动物园']",98,"13,684元/平",2室1厅 | 71.62平米 | 南 北 | 简装 | 低楼层(共18层)  | 塔楼,9人关注 / 5个月以前发布,"['近地铁', 'VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116485541.html
23,锦绣东方一期 2室1厅 东,"['锦绣东方一期 ', '万象城']",79.8,"16,015元/平",2室1厅 | 49.83平米 | 东 | 精装 | 高楼层(共33层)  | 塔楼,2人关注 / 1个月以前发布,"['近地铁', 'VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106117555091.html
24,汇厦沙河锦庭二期 2室1厅 东,"['汇厦沙河锦庭二期 ', '万象城']",155,"23,056元/平",2室1厅 | 67.23平米 | 东 | 精装 | 低楼层(共31层)  | 板塔结合,13人关注 / 一年前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106113491319.html
25,中粮锦云 3室1厅 西北,"['中粮锦云 ', '万年场']",178,"24,149元/平",3室1厅 | 73.71平米 | 西北 | 简装 | 中楼层(共29层)  | 板塔结合,13人关注 / 一年前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106114127776.html
26,优品尚东三期 4室2厅 南 北,"['优品尚东三期 ', '万年场']",215,"16,908元/平",4室2厅 | 127.16平米 | 南 北 | 简装 | 高楼层(共32层)  | 板塔结合,11人关注 / 一年前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106112746452.html
27,锦绣东方一期 1室1厅 东,"['锦绣东方一期 ', '万象城']",79,"15,864元/平",1室1厅 | 49.8平米 | 东 | 精装 | 高楼层(共33层)  | 塔楼,4人关注 / 8个月以前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115421698.html
28,华润二十四城二期 3室2厅 东南,"['华润二十四城二期 ', '万象城']",255,"28,821元/平",3室2厅 | 88.48平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,4人关注 / 6个月以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116115214.html
29,U+尚舍 2室1厅 西南,"['U+尚舍 ', '万年场']",106,"12,967元/平",2室1厅 | 81.75平米 | 西南 | 毛坯 | 低楼层(共18层)  | 板塔结合,28人关注 / 5个月以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116486923.html
30,新鸿路五冶住宅区 1室1厅 南,"['新鸿路五冶住宅区 ', '新华公园']",54,"11,302元/平",1室1厅 | 47.78平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,4人关注 / 6个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116026669.html
31,胜天人居 1室1厅 南,"['胜天人居 ', '万年场']",49.8,"10,182元/平",1室1厅 | 48.91平米 | 南 | 简装 | 中楼层(共31层)  | 板塔结合,9人关注 / 1个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106117707331.html
32,华润二十四城三期 3室2厅 西,"['华润二十四城三期 ', '万象城']",223,"25,043元/平",3室2厅 | 89.05平米 | 西 | 精装 | 高楼层(共30层)  | 板塔结合,7人关注 / 11个月以前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106114446495.html
33,建设南新路7号院 2室1厅 东,"['建设南新路7号院 ', '建设路']",61.5,"9,991元/平",2室1厅 | 61.56平米 | 东 | 简装 | 中楼层(共7层)  | 板楼,55人关注 / 一年前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106114240583.html
34,东方惠城B区 2室2厅 东南,"['东方惠城B区 ', '万年场']",89,"11,132元/平",2室2厅 | 79.95平米 | 东南 | 精装 | 低楼层(共33层)  | 塔楼,2人关注 / 4个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106116894046.html
35,秀林苑东区 2室2厅 南,"['秀林苑东区 ', '龙潭寺']",83,"9,944元/平",2室2厅 | 83.47平米 | 南 | 简装 | 高楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117955825.html
36,成勘苑 2室1厅 东南,"['成勘苑 ', '李家沱']",85,"10,550元/平",2室1厅 | 80.57平米 | 东南 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,"['VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106117360390.html
37,蓝光coco国际一期 2室2厅 东南,"['蓝光coco国际一期 ', '动物园']",99,"18,596元/平",2室2厅 | 53.24平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,5人关注 / 4个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116659759.html
38,招商雍华府一期 2室1厅 东南,"['招商雍华府一期 ', '驷马桥']",147,"16,707元/平",2室1厅 | 87.99平米 | 东南 | 精装 | 高楼层(共18层)  | 板塔结合,2人关注 / 3个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117197390.html
39,双林二巷4号 3室1厅 南,"['双林二巷4号 ', '新华公园']",80,"12,344元/平",3室1厅 | 64.81平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 2个月以前发布,"['近地铁', 'VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106117445019.html
40,合能耀之城 2室2厅 西,"['合能耀之城 ', 'SM广场']",106,"23,150元/平",2室2厅 | 45.79平米 | 西 | 精装 | 低楼层(共27层)  | 板塔结合,5人关注 / 2个月以前发布,"['近地铁', 'VR房源', '房本满五年']",https://cd.lianjia.com/ershoufang/106117536916.html
41,佳年华广场二期 2室2厅 南,"['佳年华广场二期 ', '东客站']",102,"16,104元/平",2室2厅 | 63.34平米 | 南 | 精装 | 中楼层(共35层) | 2021年 | 塔楼,4人关注 / 3个月以前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117231560.html
42,德商迎晖天玺 4室2厅 东南,"['德商迎晖天玺 ', '东客站']",700,"36,730元/平",4室2厅 | 190.58平米 | 东南 | 精装 | 高楼层(共23层)  | 板楼,8人关注 / 一年前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106113223243.html
43,华润二十四城七期 3室2厅 东 北,"['华润二十四城七期 ', '万象城']",237,"25,305元/平",3室2厅 | 93.66平米 | 东 北 | 精装 | 高楼层(共43层)  | 板塔结合,17人关注 / 5个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116550609.html
44,河畔华苑一期 2室1厅 南 北,"['河畔华苑一期 ', 'SM广场']",124.5,"16,391元/平",2室1厅 | 75.96平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 6个月以前发布,"['近地铁', 'VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116075212.html
