,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,花桥雅苑 2室2厅 南,"['花桥雅苑 ', '五津']",31,"4,140元/平",2室2厅 | 74.89平米 | 南 | 毛坯 | 高楼层(共6层) | 2018年 | 板塔结合,11人关注 / 4个月以前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117026889.html
1,万邦和谐园 2室2厅 东南,"['万邦和谐园 ', '五津']",45,"6,089元/平",2室2厅 | 73.91平米 | 东南 | 简装 | 低楼层(共5层)  | 塔楼,0人关注 / 1个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117761313.html
2,隆鑫印象城邦 3室1厅 南,"['隆鑫印象城邦 ', '五津']",98,"11,105元/平",3室1厅 | 88.25平米 | 南 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 1个月以前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117922772.html
3,万邦和谐园 2室1厅 南,"['万邦和谐园 ', '五津']",59,"6,796元/平",2室1厅 | 86.82平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,2人关注 / 31天以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117993974.html
4,恒大天府城邦 3室2厅 东南,"['恒大天府城邦 ', '普兴']",70,"6,203元/平",3室2厅 | 112.86平米 | 东南 | 其他 | 低楼层(共24层) | 2019年 | 板塔结合,2人关注 / 6个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106115951344.html
5,复兴嘉苑 1室1厅 东南,"['复兴嘉苑 ', '五津']",17,"3,522元/平",1室1厅 | 48.27平米 | 东南 | 毛坯 | 低楼层(共14层)  | 板塔结合,2人关注 / 3个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117330257.html
6,天山名苑 3室1厅 南,"['天山名苑 ', '花源']",75,"7,647元/平",3室1厅 | 98.08平米 | 南 | 其他 | 低楼层(共7层) | 2018年 | 板塔结合,0人关注 / 18天以前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106118158987.html
7,花桥雅苑 2室1厅 东南,"['花桥雅苑 ', '五津']",40,"5,583元/平",2室1厅 | 71.65平米 | 东南 | 精装 | 高楼层(共6层) | 2018年 | 板塔结合,58人关注 / 一年前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106112827517.html
8,龙光玖龙府二期 2室2厅 西南,"['龙光玖龙府二期 ', '花源']",75,"9,518元/平",2室2厅 | 78.8平米 | 西南 | 精装 | 中楼层(共8层)  | 板塔结合,14人关注 / 一年前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106113721468.html
9,新筑鼎峰 2室1厅 东,"['新筑鼎峰 ', '五津']",72,"11,288元/平",2室1厅 | 63.79平米 | 东 | 简装 | 中楼层(共14层)  | 板塔结合,1人关注 / 1个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117951543.html
10,金秋乐园一期 2室1厅 南,"['金秋乐园一期 ', '花源']",38,"4,802元/平",2室1厅 | 79.14平米 | 南 | 其他 | 中楼层(共4层)  | 板楼,2人关注 / 4个月以前发布,"['近地铁', 'VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117010420.html
11,时代晶座(新津) 2室1厅 东南,"['时代晶座(新津) ', '五津']",69,"8,189元/平",2室1厅 | 84.26平米 | 东南 | 简装 | 中楼层(共14层)  | 板塔结合,0人关注 / 1个月以前发布,"['近地铁', 'VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106117760626.html
12,恒大天府城邦 3室1厅 西北,"['恒大天府城邦 ', '普兴']",70,"5,600元/平",3室1厅 | 125.01平米 | 西北 | 精装 | 低楼层(共17层) | 2018年 | 板塔结合,4人关注 / 9个月以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115251427.html
