,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,竹园二期 3室1厅 东北,"['竹园二期 ', '红牌楼']",116,"12,206元/平",3室1厅 | 95.04平米 | 东北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 1个月以前发布,"['近地铁', 'VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117757685.html
1,华宇楠苑 3室1厅 东南 南,"['华宇楠苑 ', '新双楠']",195,"26,625元/平",3室1厅 | 73.24平米 | 东南 南 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 3个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117229015.html
2,置信巴厘岛A区 3室1厅 南,"['置信巴厘岛A区 ', '武侯立交']",163,"18,700元/平",3室1厅 | 87.17平米 | 南 | 简装 | 高楼层(共13层)  | 板楼,0人关注 / 31天以前发布,"['近地铁', 'VR房源', '房本满五年']",https://cd.lianjia.com/ershoufang/106117987393.html
3,玲珑郡 2室1厅 北,"['玲珑郡 ', '簇桥']",107,"16,904元/平",2室1厅 | 63.3平米 | 北 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 8个月以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106115291763.html
4,中华名园二期 3室2厅 西北,"['中华名园二期 ', '武侯立交']",202,"16,934元/平",3室2厅 | 119.29平米 | 西北 | 简装 | 中楼层(共16层)  | 板楼,3人关注 / 3个月以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117130228.html
5,红牌楼广场 3室2厅 东南,"['红牌楼广场 ', '丽都']",225,"19,342元/平",3室2厅 | 116.33平米 | 东南 | 精装 | 高楼层(共17层)  | 板楼,10人关注 / 2个月以前发布,VR看装修,https://cd.lianjia.com/ershoufang/106117521059.html
6,君悦领地 3室1厅 东南,"['君悦领地 ', '火车南站']",165,"16,575元/平",3室1厅 | 99.55平米 | 东南 | 简装 | 中楼层(共18层)  | 板楼,29人关注 / 11个月以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106114516428.html
7,中铁瑞城三号线 1室1厅 南,"['中铁瑞城三号线 ', '新双楠']",124.8,"22,638元/平",1室1厅 | 55.13平米 | 南 | 精装 | 中楼层(共11层)  | 塔楼,2人关注 / 6个月以前发布,"['VR看装修', '房本满两年']",https://cd.lianjia.com/ershoufang/106116185209.html
8,西派城A区 3室2厅 西南,"['西派城A区 ', '簇桥']",318,"27,844元/平",3室2厅 | 114.21平米 | 西南 | 精装 | 低楼层(共14层)  | 板塔结合,10人关注 / 9个月以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115244560.html
9,西郡香林 3室2厅 西南,"['西郡香林 ', '五大花园']",218,"16,853元/平",3室2厅 | 129.36平米 | 西南 | 精装 | 中楼层(共14层)  | 板楼,3人关注 / 7个月以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106115650181.html
10,丽景天成 4室2厅 南,"['丽景天成 ', '华西']",398,"18,983元/平",4室2厅 | 209.67平米 | 南 | 简装 | 高楼层(共11层)  | 板塔结合,7人关注 / 3个月以前发布,"['近地铁', 'VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117178686.html
11,中海常春藤花园 3室2厅 东,"['中海常春藤花园 ', '龙湾']",208,"20,323元/平",3室2厅 | 102.35平米 | 东 | 精装 | 高楼层(共15层)  | 板塔结合,1人关注 / 1个月以前发布,"['近地铁', 'VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117673345.html
12,蓝光金双楠二期 3室1厅 东 东南,"['蓝光金双楠二期 ', '草金立交']",139.8,"19,265元/平",3室1厅 | 72.57平米 | 东 东南 | 精装 | 低楼层(共24层)  | 板塔结合,2人关注 / 1个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117958377.html
13,正成城市乐章 3室2厅 南,"['正成城市乐章 ', '草金立交']",149.9,"16,938元/平",3室2厅 | 88.5平米 | 南 | 精装 | 中楼层(共22层)  | 板楼,18人关注 / 6个月以前发布,"['近地铁', 'VR看装修', '房本满两年']",https://cd.lianjia.com/ershoufang/106116054534.html
14,保利花园四期 3室1厅 西南,"['保利花园四期 ', '新双楠']",265,"23,510元/平",3室1厅 | 112.72平米 | 西南 | 精装 | 低楼层(共16层)  | 板塔结合,3人关注 / 1个月以前发布,"['近地铁', 'VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117868582.html
15,菊乐路180号 2室1厅 西南,"['菊乐路180号 ', '双楠']",70.5,"10,252元/平",2室1厅 | 68.77平米 | 西南 | 精装 | 中楼层(共7层)  | 板塔结合,19人关注 / 4个月以前发布,"['近地铁', 'VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117044727.html
16,武侯民居 3室2厅 东南,"['武侯民居 ', '武侯立交']",92,"9,788元/平",3室2厅 | 94平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,7人关注 / 1个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117788008.html
17,中海熙苑一期 3室2厅 西南,"['中海熙苑一期 ', '武侯立交']",230,"20,693元/平",3室2厅 | 111.15平米 | 西南 | 精装 | 中楼层(共18层) | 2017年 | 板塔结合,5人关注 / 6个月以前发布,"['VR房源', '房本满两年']",https://cd.lianjia.com/ershoufang/106115933916.html
18,保利花园四期 3室2厅 东南,"['保利花园四期 ', '新双楠']",248,"24,697元/平",3室2厅 | 100.42平米 | 东南 | 精装 | 高楼层(共16层)  | 板塔结合,2人关注 / 30天以前发布,"['近地铁', 'VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106118003517.html
19,中铁骑士公馆 2室2厅 南,"['中铁骑士公馆 ', '新双楠']",133,"18,586元/平",2室2厅 | 71.56平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,3人关注 / 1个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117560566.html
20,龙福苑 2室1厅 南,"['龙福苑 ', '外双楠']",62,"11,228元/平",2室1厅 | 55.22平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117530528.html
21,永乐苑 1室1厅 西南,"['永乐苑 ', '簇桥']",61.8,"13,262元/平",1室1厅 | 46.6平米 | 西南 | 简装 | 高楼层(共11层)  | 板塔结合,1人关注 / 1个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117822648.html
22,世纪锦苑 3室2厅 东,"['世纪锦苑 ', '桐梓林']",215,"16,581元/平",3室2厅 | 129.67平米 | 东 | 精装 | 15层  | 板塔结合,25人关注 / 4个月以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116994530.html
