,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,恒大新城二期 3室2厅 西北,"['恒大新城二期 ', '光华大道沿线']",154,"12,405元/平",3室2厅 | 124.15平米 | 西北 | 精装 | 低楼层(共33层) | 2018年 | 板塔结合,6人关注 / 8个月以前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115310158.html
1,汇厦香悦云庭 3室2厅 东,"['汇厦香悦云庭 ', '花都大道']",139,"14,154元/平",3室2厅 | 98.21平米 | 东 | 毛坯 | 高楼层(共16层)  | 板塔结合,0人关注 / 一年前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106112673057.html
2,西财学府尚郡 4室2厅 西北,"['西财学府尚郡 ', '温江大学城']",140,"10,041元/平",4室2厅 | 139.44平米 | 西北 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 6个月以前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116073709.html
3,金河谷一期 3室1厅 西南,"['金河谷一期 ', '光华大道沿线']",142,"11,762元/平",3室1厅 | 120.73平米 | 西南 | 简装 | 中楼层(共26层)  | 板塔结合,9人关注 / 5个月以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116355002.html
4,恒大御景 3室2厅 西北,"['恒大御景 ', '温江大学城']",82,"7,153元/平",3室2厅 | 114.65平米 | 西北 | 精装 | 高楼层(共37层)  | 板楼,8人关注 / 6个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116059348.html
5,新城府景 3室2厅 南,"['新城府景 ', '温江新城']",79.9,"8,211元/平",3室2厅 | 97.31平米 | 南 | 简装 | 低楼层(共25层)  | 板塔结合,7人关注 / 6个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106115977160.html
6,千禧河畔A区 3室2厅 南,"['千禧河畔A区 ', '花都大道']",135,"15,539元/平",3室2厅 | 86.88平米 | 南 | 简装 | 中楼层(共33层) | 2016年 | 板塔结合,0人关注 / 3个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117257485.html
7,洲际银海湾 3室2厅 南,"['洲际银海湾 ', '光华大道沿线']",153,"15,275元/平",3室2厅 | 100.17平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,2人关注 / 4个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116678627.html
8,上林宽境 4室2厅 东北,"['上林宽境 ', '温江新城']",212,"9,094元/平",4室2厅 | 233.14平米 | 东北 | 毛坯 | 低楼层(共6层)  | 板塔结合,14人关注 / 10个月以前发布,"['近地铁', 'VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106114833979.html
9,新尚天地 3室2厅 东南,"['新尚天地 ', '温江大学城']",115,"13,688元/平",3室2厅 | 84.02平米 | 东南 | 精装 | 低楼层(共32层) | 2018年 | 塔楼,4人关注 / 一年前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106113825898.html
10,雅逸居 2室2厅 东南,"['雅逸居 ', '温江老城']",68,"8,040元/平",2室2厅 | 84.58平米 | 东南 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 10个月以前发布,"['近地铁', 'VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106114939637.html
11,花样年花样城五期 2室2厅 西北,"['花样年花样城五期 ', '温江大学城']",46.8,"7,131元/平",2室2厅 | 65.63平米 | 西北 | 精装 | 中楼层(共30层) | 2015年 | 塔楼,13人关注 / 4个月以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116619783.html
12,洲际春天广场 3室1厅 南,"['洲际春天广场 ', '光华大道沿线']",140,"13,213元/平",3室1厅 | 105.96平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,6人关注 / 1个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117578363.html
13,福兴苑(温江) 3室2厅 南,"['福兴苑(温江) ', '温江新城']",93,"8,490元/平",3室2厅 | 109.55平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,11人关注 / 5个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106116563354.html
14,鹭湖宫七号B组 3室2厅 东南,"['鹭湖宫七号B组 ', '国色天乡']",108,"9,150元/平",3室2厅 | 118.04平米 | 东南 | 精装 | 高楼层(共24层)  | 板塔结合,5人关注 / 一年前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106113600726.html
15,西财学府阳光 2室1厅 东南,"['西财学府阳光 ', '温江大学城']",65,"9,237元/平",2室1厅 | 70.37平米 | 东南 | 简装 | 低楼层(共18层)  | 塔楼,8人关注 / 4个月以前发布,"['近地铁', 'VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116911928.html
16,成钞家园 3室2厅 东南,"['成钞家园 ', '温江老城']",90.5,"8,849元/平",3室2厅 | 102.28平米 | 东南 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 20天以前发布,"['近地铁', 'VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106118139154.html
17,红泰枫华庭 2室2厅 东南,"['红泰枫华庭 ', '温江大学城']",52,"6,793元/平",2室2厅 | 76.55平米 | 东南 | 精装 | 中楼层(共5层)  | 板塔结合,2人关注 / 2个月以前发布,"['VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106117449287.html
18,欣盛家园 3室2厅 东南,"['欣盛家园 ', '温江老城']",98,"7,485元/平",3室2厅 | 130.93平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106113614116.html
19,珠江青云台 2室2厅 西南,"['珠江青云台 ', '花都大道']",122,"15,528元/平",2室2厅 | 78.57平米 | 西南 | 精装 | 低楼层(共31层) | 2017年 | 板塔结合,0人关注 / 7天以前发布,"['VR房源', '房本满五年']",https://cd.lianjia.com/ershoufang/106118310338.html
20,湟普国际 2室1厅 东南,"['湟普国际 ', '光华大道沿线']",120,"13,676元/平",2室1厅 | 87.75平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,2人关注 / 3个月以前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117194036.html
