,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,碧水云居 3室2厅 东 东南 南 西南 西 西北 北 东北,"['碧水云居 ', '河东新区']",62.8,"6,604元/平",3室2厅 | 95.1平米 | 东 东南 南 西南 西 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 5个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116301791.html
1,丽茗佳苑 2室2厅 东南 西北,"['丽茗佳苑 ', '城西片区']",44.8,"5,143元/平",2室2厅 | 87.12平米 | 东南 西北 | 简装 | 中楼层(共12层)  | 板塔结合,1人关注 / 1个月以前发布,"['VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106117794546.html
2,滨河湾1期 4室1厅 南,"['滨河湾1期 ', '河东新区']",190,"10,837元/平",4室1厅 | 175.33平米 | 南 | 毛坯 | 16层  | 板塔结合,1人关注 / 3个月以前发布,"['VR房源', '随时看房']",https://cd.lianjia.com/ershoufang/106117265374.html
3,西街152号 2室2厅 西南,"['西街152号 ', '城中片区']",23,"3,655元/平",2室2厅 | 62.93平米 | 西南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106114017399.html
4,滨江新城 3室1厅 东,"['滨江新城 ', '东溪片区']",58.8,"6,534元/平",3室1厅 | 90平米 | 东 | 毛坯 | 中楼层(共29层)  | 板塔结合,21人关注 / 一年前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106108149292.html
5,诚卓江东半岛 3室1厅 南,"['诚卓江东半岛 ', '河东新区']",81.8,"8,291元/平",3室1厅 | 98.67平米 | 南 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 6个月以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115961070.html
6,诚卓华盛国际 3室2厅 东南,"['诚卓华盛国际 ', '河东新区']",102.8,"8,661元/平",3室2厅 | 118.7平米 | 东南 | 毛坯 | 中楼层(共11层)  | 塔楼,0人关注 / 12天以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106118238251.html
7,政府小院 2室2厅 南,"['政府小院 ', '城中片区']",29.8,"4,658元/平",2室2厅 | 63.98平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116153079.html
8,天成国际花半里小区 3室2厅 东南,"['天成国际花半里小区 ', '城南片区']",67.8,"6,894元/平",3室2厅 | 98.35平米 | 东南 | 精装 | 低楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117703691.html
9,京汉新城悦隽风华 3室1厅 东,"['京汉新城悦隽风华 ', '河东新区']",77.8,"7,449元/平",3室1厅 | 104.45平米 | 东 | 精装 | 高楼层(共32层) | 2020年 | 板塔结合,2人关注 / 1个月以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117769097.html
10,莱茵河畔 3室2厅 西 西北,"['莱茵河畔 ', '城西片区']",32.8,"3,900元/平",3室2厅 | 84.12平米 | 西 西北 | 毛坯 | 高楼层(共28层) | 2019年 | 塔楼,5人关注 / 2个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106117494941.html
11,东城花园 3室2厅 西南,"['东城花园 ', '东溪片区']",65.8,"5,304元/平",3室2厅 | 124.08平米 | 西南 | 毛坯 | 中楼层(共25层)  | 板塔结合,2人关注 / 一年前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106113570944.html
12,海上花园一二期 3室1厅 东南,"['海上花园一二期 ', '城北片区']",72.8,"5,669元/平",3室1厅 | 128.43平米 | 东南 | 精装 | 中楼层(共28层)  | 塔楼,0人关注 / 3个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117247985.html
