,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,大溪谷花墅 2室2厅 东南,"['大溪谷花墅 ', '蒲江']",132,"15,291元/平",2室2厅 | 86.33平米 | 东南 | 精装 | 低楼层(共3层) | 2017年 | 暂无数据,0人关注 / 5个月以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116450812.html
1,大溪谷花墅 3室2厅 东南,"['大溪谷花墅 ', '蒲江']",128,"14,827元/平",3室2厅 | 86.33平米 | 东南 | 精装 | 低楼层(共3层) | 2017年 | 暂无数据,0人关注 / 5个月以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116252860.html
2,保利贝多芬 4室2厅 西北,"['保利贝多芬 ', '蒲江']",747,"33,447元/平",4室2厅 | 223.34平米 | 西北 | 其他 | 低楼层(共2层)  | 暂无数据,2人关注 / 一年前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106111730970.html
3,茶田小院 5室2厅 南,"['茶田小院 ', '蒲江']",385,"19,265元/平",5室2厅 | 199.85平米 | 南 | 其他 | 3层 | 2019年 | 板楼,8人关注 / 一年前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106111455430.html
4,莫扎特庄园 2室2厅 东南,"['莫扎特庄园 ', '蒲江']",220,"18,460元/平",2室2厅 | 119.18平米 | 东南 | 精装 | 低楼层(共2层)  | 暂无数据,2人关注 / 一年前发布,"['VR房源', '随时看房']",https://cd.lianjia.com/ershoufang/106113432069.html
5,莫扎特庄园 4室2厅 北,"['莫扎特庄园 ', '蒲江']",450,"25,876元/平",4室2厅 | 173.91平米 | 北 | 精装 | 低楼层(共2层)  | 暂无数据,1人关注 / 一年前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106112816118.html
6,保利贝多芬 3室1厅 南,"['保利贝多芬 ', '蒲江']",620,"34,583元/平",3室1厅 | 179.28平米 | 南 | 其他 | 低楼层(共2层)  | 塔楼,0人关注 / 5个月以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116317849.html
7,花样年大溪谷果墅 3室2厅 东南,"['花样年大溪谷果墅 ', '蒲江']",126,"13,563元/平",3室2厅 | 92.9平米 | 东南 | 精装 | 低楼层(共3层)  | 暂无数据,5人关注 / 5个月以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116249811.html
8,花样年大溪谷香溪岭 7室3厅 东南,"['花样年大溪谷香溪岭 ', '蒲江']",370,"10,212元/平",7室3厅 | 362.35平米 | 东南 | 简装 | 低楼层(共3层)  | 暂无数据,3人关注 / 9个月以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106115048430.html
9,花样年大溪谷堤泉 5室2厅 南,"['花样年大溪谷堤泉 ', '蒲江']",218,"10,186元/平",5室2厅 | 214.04平米 | 南 | 精装 | 低楼层(共3层)  | 板塔结合,10人关注 / 一年前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106109023883.html
10,保利贝多芬 3室2厅 南,"['保利贝多芬 ', '蒲江']",289,"19,562元/平",3室2厅 | 147.74平米 | 南 | 精装 | 低楼层(共2层)  | 暂无数据,17人关注 / 一年前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106108670438.html
11,莫扎特庄园 2室2厅 西南,"['莫扎特庄园 ', '蒲江']",210,"16,998元/平",2室2厅 | 123.55平米 | 西南 | 精装 | 低楼层(共2层)  | 暂无数据,77人关注 / 一年前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106106901770.html
12,花样年大溪谷果墅 2室2厅 西南,"['花样年大溪谷果墅 ', '蒲江']",106,"13,005元/平",2室2厅 | 81.51平米 | 西南 | 精装 | 低楼层(共2层)  | 暂无数据,3人关注 / 一年前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106113931260.html
13,保利石象湖国际乡村俱乐部 3室2厅 西北,"['保利石象湖国际乡村俱乐部 ', '蒲江']",364,"20,304元/平",3室2厅 | 179.28平米 | 西北 | 精装 | 低楼层(共2层)  | 暂无数据,1人关注 / 一年前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106112872885.html
14,莫扎特庄园 3室2厅 东南,"['莫扎特庄园 ', '蒲江']",280,"18,905元/平",3室2厅 | 148.11平米 | 东南 | 精装 | 低楼层(共2层)  | 暂无数据,4人关注 / 一年前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106114019023.html
15,莫扎特庄园 3室2厅 南,"['莫扎特庄园 ', '蒲江']",115,"13,055元/平",3室2厅 | 88.09平米 | 南 | 精装 | 低楼层(共2层)  | 暂无数据,3人关注 / 10个月以前发布,"['房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106114697849.html
16,保利贝多芬 3室2厅 南,"['保利贝多芬 ', '蒲江']",550,"30,180元/平",3室2厅 | 182.24平米 | 南 | 精装 | 低楼层(共2层)  | 暂无数据,0人关注 / 11个月以前发布,"['房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106114466577.html
17,保利贝多芬 3室2厅 南 北,"['保利贝多芬 ', '蒲江']",338,"18,547元/平",3室2厅 | 182.24平米 | 南 北 | 简装 | 低楼层(共2层)  | 暂无数据,1人关注 / 一年前发布,"['房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106112272759.html
18,莫扎特庄园 3室2厅 北,"['莫扎特庄园 ', '蒲江']",298,"20,121元/平",3室2厅 | 148.11平米 | 北 | 精装 | 低楼层(共2层)  | 暂无数据,0人关注 / 一年前发布,"['房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106111855286.html
19,茶田小院 4室2厅 东南 南,"['茶田小院 ', '蒲江']",450,"22,171元/平",4室2厅 | 202.97平米 | 东南 南 | 其他 | 低楼层(共2层) | 2019年 | 板楼,0人关注 / 4个月以前发布,"['房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116943902.html
20,保利贝多芬 3室2厅 东,"['保利贝多芬 ', '蒲江']",480,"26,786元/平",3室2厅 | 179.2平米 | 东 | 精装 | 低楼层(共2层)  | 暂无数据,0人关注 / 一年前发布,"['房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106111763130.html
21,莫扎特庄园 2室1厅 南,"['莫扎特庄园 ', '蒲江']",92,"10,490元/平",2室1厅 | 87.71平米 | 南 | 精装 | 低楼层(共2层)  | 板楼,11人关注 / 一年前发布,"['房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106113598255.html
22,保利贝多芬 3室4厅 东,"['保利贝多芬 ', '蒲江']",420,"23,438元/平",3室4厅 | 179.2平米 | 东 | 精装 | 低楼层(共2层)  | 暂无数据,0人关注 / 1个月以前发布,"['房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117837200.html
23,莫扎特庄园 2室2厅 东,"['莫扎特庄园 ', '蒲江']",139,"14,666元/平",2室2厅 | 94.78平米 | 东 | 精装 | 低楼层(共2层)  | 暂无数据,2人关注 / 9个月以前发布,"['房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115233566.html
24,莫扎特庄园 2室2厅 西北,"['莫扎特庄园 ', '蒲江']",200,"16,188元/平",2室2厅 | 123.55平米 | 西北 | 精装 | 低楼层(共2层)  | 暂无数据,2人关注 / 一年前发布,"['房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106114245500.html
25,茶田小院 4室2厅 北 南,"['茶田小院 ', '蒲江']",295,"14,762元/平",4室2厅 | 199.85平米 | 北 南 | 其他 | 低楼层(共2层) | 2019年 | 板楼,0人关注 / 一年前发布,"['房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106112501763.html
26,保利贝多芬 3室2厅 南,"['保利贝多芬 ', '蒲江']",430,"23,996元/平",3室2厅 | 179.2平米 | 南 | 精装 | 低楼层(共2层)  | 板楼,1人关注 / 一年前发布,"['房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106109120620.html
27,保利贝多芬 4室3厅 东南,"['保利贝多芬 ', '蒲江']",1013,"39,039元/平",4室3厅 | 259.49平米 | 东南 | 简装 | 低楼层(共2层)  | 板楼,10人关注 / 一年前发布,"['房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106106881119.html
28,茶田小院 3室2厅 东南,"['茶田小院 ', '蒲江']",164,"13,560元/平",3室2厅 | 120.95平米 | 东南 | 其他 | 低楼层(共2层) | 2019年 | 板塔结合,0人关注 / 3个月以前发布,"['房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117116613.html
29,莫扎特庄园 4室2厅 西北,"['莫扎特庄园 ', '蒲江']",288,"16,561元/平",4室2厅 | 173.91平米 | 西北 | 精装 | 低楼层(共2层)  | 暂无数据,4人关注 / 一年前发布,"['房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106111116417.html
30,莫扎特庄园 4室2厅 南 北,"['莫扎特庄园 ', '蒲江']",415,"23,509元/平",4室2厅 | 176.53平米 | 南 北 | 精装 | 低楼层(共2层)  | 暂无数据,1人关注 / 8个月以前发布,"['房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106115351148.html
31,莫扎特庄园 4室2厅 东南,"['莫扎特庄园 ', '蒲江']",295,"16,963元/平",4室2厅 | 173.91平米 | 东南 | 其他 | 低楼层(共2层)  | 暂无数据,2人关注 / 一年前发布,"['房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106111742466.html
32,保利贝多芬 3室2厅 西北,"['保利贝多芬 ', '蒲江']",279.5,"18,959元/平",3室2厅 | 147.43平米 | 西北 | 其他 | 低楼层(共2层)  | 暂无数据,4人关注 / 一年前发布,"['房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106112259346.html
33,茶田小院 3室2厅 东,"['茶田小院 ', '蒲江']",280,"19,221元/平",3室2厅 | 145.68平米 | 东 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,随时看房,https://cd.lianjia.com/ershoufang/106117387321.html
34,保利石象湖国际乡村俱乐部 3室2厅 西南,"['保利石象湖国际乡村俱乐部 ', '蒲江']",300,"19,429元/平",3室2厅 | 154.41平米 | 西南 | 精装 | 低楼层(共2层)  | 暂无数据,0人关注 / 27天以前发布,"['房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106118046690.html
35,大溪谷英格堡 4室3厅 南,"['大溪谷英格堡 ', '蒲江']",358,"26,574元/平",4室3厅 | 134.72平米 | 南 | 毛坯 | 低楼层(共2层)  | 板塔结合,0人关注 / 一年前发布,"['房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106113922348.html
36,莫扎特庄园 4室2厅 西北,"['莫扎特庄园 ', '蒲江']",320,"18,474元/平",4室2厅 | 173.22平米 | 西北 | 精装 | 低楼层(共2层)  | 暂无数据,0人关注 / 一年前发布,"['房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106112180353.html
37,莫扎特庄园 3室2厅 南,"['莫扎特庄园 ', '蒲江']",260,"18,119元/平",3室2厅 | 143.5平米 | 南 | 精装 | 低楼层(共2层)  | 暂无数据,0人关注 / 7个月以前发布,"['房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106115886449.html
38,莫扎特庄园 4室2厅 北,"['莫扎特庄园 ', '蒲江']",320,"18,128元/平",4室2厅 | 176.53平米 | 北 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 3个月以前发布,"['房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117332246.html
39,保利贝多芬 3室2厅 南,"['保利贝多芬 ', '蒲江']",318,"20,595元/平",3室2厅 | 154.41平米 | 南 | 其他 | 低楼层(共2层)  | 板楼,4人关注 / 11个月以前发布,"['房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106114417607.html
