,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,锦绣西苑二期 2室1厅 东南,"['锦绣西苑二期 ', '郫县万达']",69.7,"8,014元/平",2室1厅 | 86.98平米 | 东南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,"['近地铁', 'VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106117595191.html
1,蔚蓝卡地亚云墅 4室2厅 南 北,"['蔚蓝卡地亚云墅 ', '郫县城区']",232,"12,222元/平",4室2厅 | 189.83平米 | 南 北 | 精装 | 中楼层(共12层)  | 暂无数据,54人关注 / 11个月以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106114381170.html
2,交大卡布里城 2室1厅 东南,"['交大卡布里城 ', '犀浦']",42,"8,237元/平",2室1厅 | 50.99平米 | 东南 | 简装 | 中楼层(共25层)  | 板塔结合,8人关注 / 1个月以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117913848.html
3,绿地国际花都一期 3室1厅 东南,"['绿地国际花都一期 ', '郫县城区']",87,"9,937元/平",3室1厅 | 87.56平米 | 东南 | 其他 | 中楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106113914108.html
4,天立香缇华府 3室1厅 东南,"['天立香缇华府 ', '郫县城区']",129.5,"11,628元/平",3室1厅 | 111.37平米 | 东南 | 其他 | 低楼层(共11层)  | 板塔结合,2人关注 / 3个月以前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117144322.html
5,景尚景一期 3室1厅 西南,"['景尚景一期 ', '郫县城区']",101.6,"9,127元/平",3室1厅 | 111.32平米 | 西南 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117755598.html
6,中铁瑞景茗城 2室2厅 南,"['中铁瑞景茗城 ', '郫县城区']",67.8,"7,675元/平",2室2厅 | 88.34平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,18人关注 / 一年前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106113615194.html
7,溪地湾 4室1厅 南,"['溪地湾 ', '犀浦']",115,"12,982元/平",4室1厅 | 88.59平米 | 南 | 简装 | 高楼层(共33层) | 2017年 | 塔楼,2人关注 / 1个月以前发布,"['近地铁', 'VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117910427.html
8,西蜀祥瑞府 2室2厅 东南,"['西蜀祥瑞府 ', '郫县城区']",23.5,"3,467元/平",2室2厅 | 67.79平米 | 东南 | 毛坯 | 中楼层(共7层) | 2015年 | 板塔结合,26人关注 / 一年前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106112909845.html
9,宇众悦府 3室1厅 西南 东北,"['宇众悦府 ', '犀浦']",98,"12,536元/平",3室1厅 | 78.18平米 | 西南 东北 | 简装 | 低楼层(共24层)  | 板塔结合,3人关注 / 5个月以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116509710.html
10,万达华府C区 4室2厅 南,"['万达华府C区 ', '郫县万达']",105,"10,343元/平",4室2厅 | 101.52平米 | 南 | 精装 | 中楼层(共32层) | 2017年 | 板塔结合,17人关注 / 一年前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106111196981.html
11,上置雅宾利 3室1厅 西南,"['上置雅宾利 ', '红光']",84,"9,900元/平",3室1厅 | 84.85平米 | 西南 | 简装 | 中楼层(共23层) | 2018年 | 板塔结合,0人关注 / 1个月以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117905743.html
12,万科城臻园 3室2厅 西南,"['万科城臻园 ', '成外']",159,"17,665元/平",3室2厅 | 90.01平米 | 西南 | 精装 | 中楼层(共21层)  | 板塔结合,6人关注 / 11个月以前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106114587327.html
13,西城鸥鹭湾 4室2厅 东南,"['西城鸥鹭湾 ', '郫县城区']",127,"7,876元/平",4室2厅 | 161.25平米 | 东南 | 毛坯 | 高楼层(共26层)  | 板塔结合,38人关注 / 一年前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106109595151.html
14,中铁瑞景茗城二期 3室2厅 西南,"['中铁瑞景茗城二期 ', '郫县城区']",99.6,"10,630元/平",3室2厅 | 93.7平米 | 西南 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 5个月以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116293282.html
15,蔚蓝卡地亚云墅 4室2厅 西南,"['蔚蓝卡地亚云墅 ', '郫县城区']",294,"17,696元/平",4室2厅 | 166.14平米 | 西南 | 毛坯 | 低楼层(共4层) | 2020年 | 暂无数据,1人关注 / 8个月以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115360183.html
16,花样年龙年中心三期 3室2厅 东南,"['花样年龙年中心三期 ', '郫县城区']",120,"12,287元/平",3室2厅 | 97.67平米 | 东南 | 精装 | 26层  | 板塔结合,1人关注 / 16天以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106118187786.html
17,弘福逸居 2室1厅 东南,"['弘福逸居 ', '郫县城区']",43,"8,108元/平",2室1厅 | 53.04平米 | 东南 | 其他 | 高楼层(共11层)  | 板塔结合,0人关注 / 11天以前发布,"['VR房源', '房本满两年']",https://cd.lianjia.com/ershoufang/106118246615.html
