,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,御景湾 2室1厅 东南,"['御景湾 ', '都江堰']",75.8,"8,358元/平",2室1厅 | 90.7平米 | 东南 | 精装 | 中楼层(共7层) | 2021年 | 板塔结合,0人关注 / 1个月以前发布,VR看装修,https://cd.lianjia.com/ershoufang/106117887907.html
1,紫荆城 2室1厅 西南,"['紫荆城 ', '都江堰']",43.8,"6,008元/平",2室1厅 | 72.91平米 | 西南 | 精装 | 中楼层(共11层)  | 板塔结合,2人关注 / 1个月以前发布,"['VR房源', '房本满五年']",https://cd.lianjia.com/ershoufang/106117954019.html
2,南峰水岸华府 3室2厅 东南,"['南峰水岸华府 ', '都江堰']",104.8,"10,189元/平",3室2厅 | 102.86平米 | 东南 | 精装 | 高楼层(共19层)  | 塔楼,0人关注 / 3个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117344751.html
3,都市美丽风景 2室2厅 南 北,"['都市美丽风景 ', '都江堰']",42,"5,014元/平",2室2厅 | 83.77平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 10个月以前发布,"['VR看装修', '房本满两年']",https://cd.lianjia.com/ershoufang/106114763674.html
4,君悦名筑 3室1厅 东南 南,"['君悦名筑 ', '都江堰']",116.8,"9,095元/平",3室1厅 | 128.43平米 | 东南 南 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 2个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117459507.html
5,万达城闲山悦四区 2室2厅 东北,"['万达城闲山悦四区 ', '都江堰']",46,"5,851元/平",2室2厅 | 78.63平米 | 东北 | 毛坯 | 中楼层(共11层)  | 塔楼,8人关注 / 一年前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106110843937.html
6,蓝郡新界 4室2厅 南 北,"['蓝郡新界 ', '都江堰']",96,"5,518元/平",4室2厅 | 173.99平米 | 南 北 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 一年前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106113802423.html
7,岭秀都江1期 2室2厅 东南,"['岭秀都江1期 ', '都江堰']",57,"7,966元/平",2室2厅 | 71.56平米 | 东南 | 精装 | 中楼层(共11层)  | 板楼,22人关注 / 一年前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106101812835.html
8,堰山和畔4期 3室2厅 东 东南,"['堰山和畔4期 ', '都江堰']",89,"8,407元/平",3室2厅 | 105.87平米 | 东 东南 | 简装 | 高楼层(共16层)  | 塔楼,0人关注 / 5个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106116519405.html
9,龙湖小院青城 2室2厅 东南,"['龙湖小院青城 ', '青城山']",82,"13,805元/平",2室2厅 | 59.4平米 | 东南 | 精装 | 低楼层(共2层)  | 平房,10人关注 / 1个月以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117861378.html
10,正成源筑 3室2厅 东南,"['正成源筑 ', '都江堰']",116,"11,042元/平",3室2厅 | 105.06平米 | 东南 | 其他 | 低楼层(共11层) | 2019年 | 板塔结合,1人关注 / 3个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117098167.html
11,银海锦都 2室2厅 东南,"['银海锦都 ', '都江堰']",43.8,"5,305元/平",2室2厅 | 82.57平米 | 东南 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 3个月以前发布,"['VR房源', '房本满五年']",https://cd.lianjia.com/ershoufang/106117185625.html
12,兴堰丽景A区 2室1厅 东北,"['兴堰丽景A区 ', '都江堰']",46,"5,405元/平",2室1厅 | 85.12平米 | 东北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 4个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116612031.html
13,建工紫荆城2期 3室1厅 东南,"['建工紫荆城2期 ', '都江堰']",76,"8,175元/平",3室1厅 | 92.97平米 | 东南 | 精装 | 中楼层(共12层)  | 板塔结合,0人关注 / 1个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117842009.html
14,幸福世家一期 4室2厅 东南,"['幸福世家一期 ', '都江堰']",114,"9,504元/平",4室2厅 | 119.96平米 | 东南 | 其他 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,"['VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106113492280.html
15,岭秀都江3期 1室1厅 西南,"['岭秀都江3期 ', '都江堰']",38,"8,256元/平",1室1厅 | 46.03平米 | 西南 | 精装 | 高楼层(共22层)  | 板楼,0人关注 / 3个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117265170.html
16,闲山悦三区 3室1厅 南,"['闲山悦三区 ', '都江堰']",55,"6,168元/平",3室1厅 | 89.18平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,2人关注 / 1个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117929039.html
17,枫尚领域 2室2厅 东南,"['枫尚领域 ', '都江堰']",68,"7,462元/平",2室2厅 | 91.13平米 | 东南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 31天以前发布,"['VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106117989197.html
18,建工紫荆城2期 3室2厅 南,"['建工紫荆城2期 ', '都江堰']",72,"8,399元/平",3室2厅 | 85.73平米 | 南 | 简装 | 中楼层(共12层)  | 塔楼,0人关注 / 31天以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106117993498.html
19,逸水青城兰卡威 3室2厅 南,"['逸水青城兰卡威 ', '都江堰']",79.8,"8,354元/平",3室2厅 | 95.53平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 18天以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106118156206.html
20,天府国际凤凰城 2室1厅 东 西,"['天府国际凤凰城 ', '都江堰']",48,"6,459元/平",2室1厅 | 74.32平米 | 东 西 | 其他 | 低楼层(共26层) | 2021年 | 塔楼,0人关注 / 18天以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106118164592.html
21,明宇豪雅青城 3室1厅 东南,"['明宇豪雅青城 ', '都江堰']",88,"10,012元/平",3室1厅 | 87.9平米 | 东南 | 简装 | 中楼层(共4层)  | 板楼,3人关注 / 1个月以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117809608.html
22,禹通宝誉府 3室2厅 东南 南,"['禹通宝誉府 ', '都江堰']",102.8,"9,126元/平",3室2厅 | 112.65平米 | 东南 南 | 毛坯 | 中楼层(共11层) | 2022年 | 暂无数据,0人关注 / 7个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106115715701.html
23,弘阳都江府 4室2厅 东南,"['弘阳都江府 ', '都江堰']",122,"9,261元/平",4室2厅 | 131.74平米 | 东南 | 其他 | 低楼层(共7层)  | 塔楼,0人关注 / 11个月以前发布,"['VR房源', '随时看房']",https://cd.lianjia.com/ershoufang/106114358753.html
24,映电花园 2室2厅 西南,"['映电花园 ', '都江堰']",32,"4,192元/平",2室2厅 | 76.34平米 | 西南 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 9个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106114959304.html
25,青城白鹭洲 3室2厅 东南,"['青城白鹭洲 ', '青城山']",49,"5,862元/平",3室2厅 | 83.6平米 | 东南 | 精装 | 低楼层(共3层)  | 暂无数据,23人关注 / 9个月以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106115003931.html
26,中铁瑞景誉都(廖家桥路) 3室1厅 东南,"['中铁瑞景誉都(廖家桥路) ', '都江堰']",66.8,"8,167元/平",3室1厅 | 81.8平米 | 东南 | 其他 | 高楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117829902.html
27,建工紫荆城2期 3室2厅 东南,"['建工紫荆城2期 ', '都江堰']",79.8,"7,772元/平",3室2厅 | 102.68平米 | 东南 | 其他 | 低楼层(共16层)  | 板塔结合,0人关注 / 23天以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106118101271.html
28,闲山悦五区 3室1厅 东南,"['闲山悦五区 ', '都江堰']",115,"9,873元/平",3室1厅 | 116.49平米 | 东南 | 精装 | 高楼层(共8层)  | 板塔结合,0人关注 / 1个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117714209.html
29,滨江花园 3室2厅 东南,"['滨江花园 ', '都江堰']",49,"3,530元/平",3室2厅 | 138.83平米 | 东南 | 简装 | 低楼层(共4层)  | 板楼,4人关注 / 一年前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106112361740.html
30,紫坪锦苑 3室2厅 东南,"['紫坪锦苑 ', '都江堰']",89,"6,919元/平",3室2厅 | 128.64平米 | 东南 | 简装 | 中楼层(共10层)  | 板楼,1人关注 / 7个月以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106115856566.html
31,正成源筑 3室1厅 南,"['正成源筑 ', '都江堰']",88,"8,165元/平",3室1厅 | 107.78平米 | 南 | 其他 | 中楼层(共11层) | 2020年 | 板楼,5人关注 / 8个月以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115368556.html
