,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,依云岭 3室2厅 东南,"['依云岭 ', '金堂']",46,"4,899元/平",3室2厅 | 93.91平米 | 东南 | 精装 | 中楼层(共27层)  | 塔楼,3人关注 / 11个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106114497611.html
1,希望未来城二期 3室2厅 东南,"['希望未来城二期 ', '金堂']",52.8,"4,934元/平",3室2厅 | 107.02平米 | 东南 | 精装 | 中楼层(共33层) | 2020年 | 塔楼,1人关注 / 6个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106116093248.html
2,金山国际 3室1厅 东,"['金山国际 ', '金堂']",59.8,"6,568元/平",3室1厅 | 91.06平米 | 东 | 精装 | 低楼层(共18层)  | 暂无数据,4人关注 / 6个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106116057907.html
3,金都华府 3室2厅 南,"['金都华府 ', '金堂']",63,"5,450元/平",3室2厅 | 115.61平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117150566.html
4,恒大御景半岛 3室2厅 东,"['恒大御景半岛 ', '金堂']",65,"5,578元/平",3室2厅 | 116.55平米 | 东 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117584480.html
5,学府星川 3室2厅 东南,"['学府星川 ', '金堂']",44.6,"3,686元/平",3室2厅 | 121.03平米 | 东南 | 精装 | 低楼层(共28层) | 2016年 | 板塔结合,6人关注 / 1个月以前发布,VR看装修,https://cd.lianjia.com/ershoufang/106117922545.html
6,蓝光观岭国际社区翡翠湾 3室2厅 南,"['蓝光观岭国际社区翡翠湾 ', '金堂']",55,"5,902元/平",3室2厅 | 93.2平米 | 南 | 精装 | 中楼层(共25层) | 2020年 | 板塔结合,4人关注 / 1个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106117859449.html
7,恒大御景半岛 3室2厅 北,"['恒大御景半岛 ', '金堂']",64.8,"5,349元/平",3室2厅 | 121.15平米 | 北 | 其他 | 低楼层(共32层) | 2020年 | 暂无数据,0人关注 / 1个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106117773150.html
8,中国节能琅园 3室2厅 东南,"['中国节能琅园 ', '金堂']",135,"10,728元/平",3室2厅 | 125.84平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,"['VR房源', '随时看房']",https://cd.lianjia.com/ershoufang/106117347246.html
9,依云岭 2室1厅 东南 西南,"['依云岭 ', '金堂']",39,"4,792元/平",2室1厅 | 81.4平米 | 东南 西南 | 简装 | 中楼层(共18层)  | 板楼,2人关注 / 一年前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106113521863.html
10,恒大御景半岛 2室2厅 东南,"['恒大御景半岛 ', '金堂']",68.5,"6,579元/平",2室2厅 | 104.13平米 | 东南 | 精装 | 低楼层(共32层) | 2020年 | 暂无数据,0人关注 / 5个月以前发布,VR房源,https://cd.lianjia.com/ershoufang/106116272773.html
11,星月湾 3室2厅 东南,"['星月湾 ', '金堂']",59.8,"5,508元/平",3室2厅 | 108.58平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,"['VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106117787653.html
12,泰康博观 3室2厅 南,"['泰康博观 ', '金堂']",63.8,"5,774元/平",3室2厅 | 110.51平米 | 南 | 毛坯 | 中楼层(共11层) | 2020年 | 板塔结合,0人关注 / 1个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117800236.html
13,蓝光观岭国际社区翡翠湾 3室2厅 东,"['蓝光观岭国际社区翡翠湾 ', '金堂']",61.8,"5,206元/平",3室2厅 | 118.73平米 | 东 | 精装 | 高楼层(共27层) | 2021年 | 板塔结合,1人关注 / 2个月以前发布,"['VR房源', '随时看房']",https://cd.lianjia.com/ershoufang/106117420537.html
14,希望未来城二期 3室2厅 南,"['希望未来城二期 ', '金堂']",44,"4,313元/平",3室2厅 | 102.02平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 30天以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117995811.html
15,教师公寓 2室2厅 南 北,"['教师公寓 ', '金堂']",30.8,"3,489元/平",2室2厅 | 88.3平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116530564.html
16,北部湾 1室0厅 南,"['北部湾 ', '金堂']",10.8,"2,877元/平",1室0厅 | 37.54平米 | 南 | 其他 | 中楼层(共17层)  | 板塔结合,8人关注 / 6个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116181597.html
17,华尔兹广场(金堂) 1室1厅 东南 西北,"['华尔兹广场(金堂) ', '金堂']",12,"3,603元/平",1室1厅 | 33.31平米 | 东南 西北 | 毛坯 | 中楼层(共24层)  | 板塔结合,7人关注 / 4个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116974164.html
18,恒大御景半岛 3室1厅 南 北,"['恒大御景半岛 ', '金堂']",49.8,"5,055元/平",3室1厅 | 98.53平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 4个月以前发布,"['VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106116969277.html
19,金山郡 3室1厅 南,"['金山郡 ', '金堂']",90,"8,168元/平",3室1厅 | 110.19平米 | 南 | 其他 | 低楼层(共24层) | 2021年 | 塔楼,1人关注 / 6个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106115952909.html
20,泰祺棕榈湖三期 2室2厅 南,"['泰祺棕榈湖三期 ', '金堂']",28,"4,255元/平",2室2厅 | 65.82平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106114040853.html
21,希望未来城二期 3室2厅 东南,"['希望未来城二期 ', '金堂']",52.2,"5,470元/平",3室2厅 | 95.43平米 | 东南 | 精装 | 低楼层(共32层)  | 板楼,2人关注 / 4个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116979608.html
22,金海岸·天府花园水城 3室1厅 东南,"['金海岸·天府花园水城 ', '金堂']",66.8,"5,985元/平",3室1厅 | 111.62平米 | 东南 | 精装 | 中楼层(共18层) | 2011年 | 塔楼,1人关注 / 1个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106117582940.html
23,绿洲金座 2室1厅 西南,"['绿洲金座 ', '金堂']",42.8,"4,985元/平",2室1厅 | 85.87平米 | 西南 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 7天以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106118312227.html
