,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,香山苑 4室2厅 东北,"['香山苑 ', '金牛万达']",190,"15,551元/平",4室2厅 | 122.18平米 | 东北 | 简装 | 高楼层(共23层)  | 板楼,28人关注 / 一年前发布,"['近地铁', 'VR房源', '房本满五年']",https://cd.lianjia.com/ershoufang/106105356845.html
1,怡新苑(金牛) 2室1厅 东,"['怡新苑(金牛) ', '高家庄']",75,"9,859元/平",2室1厅 | 76.08平米 | 东 | 其他 | 中楼层(共6层)  | 板楼,3人关注 / 10个月以前发布,"['VR看装修', '房本满两年']",https://cd.lianjia.com/ershoufang/106114819693.html
2,润泽园 3室1厅 南,"['润泽园 ', '金牛万达']",96,"11,273元/平",3室1厅 | 85.16平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,3人关注 / 5个月以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116356447.html
3,永陵路29号 3室1厅 南,"['永陵路29号 ', '通惠门']",69,"9,030元/平",3室1厅 | 76.42平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 31天以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106117993982.html
4,白鸽岛尚 2室1厅 西南,"['白鸽岛尚 ', '高家庄']",89.8,"12,155元/平",2室1厅 | 73.88平米 | 西南 | 精装 | 高楼层(共19层)  | 塔楼,3人关注 / 一年前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106113935816.html
5,三九绿城 2室2厅 南,"['三九绿城 ', '五块石']",93,"10,140元/平",2室2厅 | 91.72平米 | 南 | 简装 | 高楼层(共22层)  | 板楼,5人关注 / 3个月以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117294256.html
6,华侨城纯水岸一期高层 3室1厅 东南 西北,"['华侨城纯水岸一期高层 ', '华侨城']",170,"19,214元/平",3室1厅 | 88.48平米 | 东南 西北 | 简装 | 中楼层(共25层)  | 板楼,2人关注 / 1个月以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117831172.html
7,天悦城 2室2厅 南,"['天悦城 ', '五块石']",116,"16,810元/平",2室2厅 | 69.01平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,2人关注 / 一年前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106113988326.html
8,泰逸阳光 1室1厅 东北,"['泰逸阳光 ', '一品天下']",66,"10,635元/平",1室1厅 | 62.06平米 | 东北 | 简装 | 中楼层(共5层)  | 塔楼,3人关注 / 2个月以前发布,"['近地铁', 'VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117400204.html
9,为民新居 3室2厅 南,"['为民新居 ', '沙湾']",144.5,"17,225元/平",3室2厅 | 83.89平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,7人关注 / 30天以前发布,"['近地铁', 'VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106118004698.html
