,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,华熙528艺术村盈都 2室2厅 东南,"['华熙528艺术村盈都 ', '三圣乡']",169,"21,288元/平",2室2厅 | 79.39平米 | 东南 | 其他 | 中楼层(共32层) | 2018年 | 板塔结合,2人关注 / 8个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115533443.html
1,鑫苑名家一期 2室1厅 东南,"['鑫苑名家一期 ', '卓锦城']",82,"14,770元/平",2室1厅 | 55.52平米 | 东南 | 精装 | 低楼层(共34层)  | 板塔结合,1人关注 / 1个月以前发布,"['VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106117684476.html
2,东安北左街37号 2室1厅 南,"['东安北左街37号 ', '红星路']",158,"21,361元/平",2室1厅 | 73.97平米 | 南 | 简装 | 中楼层(共7层)  | 塔楼,5人关注 / 4个月以前发布,"['近地铁', 'VR房源', '房本满五年']",https://cd.lianjia.com/ershoufang/106117052197.html
3,海桐三期 1室1厅 北 南,"['海桐三期 ', '蓝谷地']",54,"12,027元/平",1室1厅 | 44.9平米 | 北 南 | 简装 | 中楼层(共24层)  | 塔楼,7人关注 / 5个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116379231.html
4,绿地468云玺五期 3室1厅 东南 东,"['绿地468云玺五期 ', '三圣乡']",216,"24,167元/平",3室1厅 | 89.38平米 | 东南 东 | 精装 | 低楼层(共32层)  | 板塔结合,27人关注 / 11个月以前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106114448623.html
5,鑫苑名家一期 2室2厅 东南,"['鑫苑名家一期 ', '卓锦城']",85,"13,557元/平",2室2厅 | 62.7平米 | 东南 | 精装 | 中楼层(共34层)  | 塔楼,3人关注 / 2个月以前发布,"['VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106117367320.html
6,美丽合江 1室1厅 东,"['美丽合江 ', '合江亭']",127,"22,933元/平",1室1厅 | 55.38平米 | 东 | 简装 | 高楼层(共13层)  | 板塔结合,0人关注 / 28天以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106118030619.html
7,钢管厂五区 2室1厅 东南,"['钢管厂五区 ', '莲花']",77,"10,933元/平",2室1厅 | 70.43平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,28人关注 / 7个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106115735150.html
8,锦和康城▪锦绣苑 2室1厅 东,"['锦和康城▪锦绣苑 ', '三圣乡']",66,"11,160元/平",2室1厅 | 59.14平米 | 东 | 简装 | 低楼层(共34层) | 2019年 | 塔楼,19人关注 / 6个月以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116081078.html
9,雕墅 2室1厅 西北,"['雕墅 ', '盐市口']",205,"27,964元/平",2室1厅 | 73.31平米 | 西北 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 7个月以前发布,"['VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106115624756.html
