,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,听湖九园 3室2厅 东南,"['听湖九园 ', '青白江']",59.8,"6,375元/平",3室2厅 | 93.81平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,2人关注 / 4个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106117004308.html
1,蝴蝶洲 2室2厅 西北,"['蝴蝶洲 ', '青白江']",35,"5,326元/平",2室2厅 | 65.72平米 | 西北 | 毛坯 | 高楼层(共25层) | 2017年 | 板塔结合,3人关注 / 8个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115523015.html
2,嘉合凤凰岛 3室2厅 东南,"['嘉合凤凰岛 ', '青白江']",93,"8,886元/平",3室2厅 | 104.67平米 | 东南 | 毛坯 | 低楼层(共18层) | 2019年 | 板塔结合,1人关注 / 4个月以前发布,"['VR房源', '随时看房']",https://cd.lianjia.com/ershoufang/106116948113.html
3,万科时代之光 3室1厅 东,"['万科时代之光 ', '青白江']",85,"8,550元/平",3室1厅 | 99.42平米 | 东 | 精装 | 中楼层(共35层)  | 板塔结合,0人关注 / 28天以前发布,"['VR房源', '随时看房']",https://cd.lianjia.com/ershoufang/106118031854.html
4,嘉和丽景(政府北路) 3室1厅 南,"['嘉和丽景(政府北路) ', '青白江']",51.6,"4,224元/平",3室1厅 | 122.16平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 4个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117035057.html
5,天骄星城翰林院 3室1厅 西南,"['天骄星城翰林院 ', '青白江']",45.8,"4,643元/平",3室1厅 | 98.66平米 | 西南 | 简装 | 中楼层(共11层) | 2013年 | 塔楼,3人关注 / 25天以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106118070847.html
6,听湖九园 3室2厅 西南,"['听湖九园 ', '青白江']",75,"7,267元/平",3室2厅 | 103.22平米 | 西南 | 精装 | 高楼层(共33层) | 2021年 | 板塔结合,1人关注 / 1个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106117920250.html
7,嘉合凤凰岛 3室1厅 东南,"['嘉合凤凰岛 ', '青白江']",78.8,"8,718元/平",3室1厅 | 90.39平米 | 东南 | 精装 | 中楼层(共31层) | 2019年 | 板塔结合,3人关注 / 30天以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106118001957.html
8,听湖九园 3室2厅 东南 西南,"['听湖九园 ', '青白江']",109,"9,593元/平",3室2厅 | 113.63平米 | 东南 西南 | 精装 | 低楼层(共11层) | 2018年 | 板塔结合,2人关注 / 1个月以前发布,"['VR房源', '房本满两年']",https://cd.lianjia.com/ershoufang/106117826011.html
9,佳兆业悦府 3室2厅 北,"['佳兆业悦府 ', '青白江']",67,"7,164元/平",3室2厅 | 93.53平米 | 北 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106117627007.html
10,凤凰铭筑 2室2厅 东南,"['凤凰铭筑 ', '青白江']",22,"2,978元/平",2室2厅 | 73.89平米 | 东南 | 毛坯 | 中楼层(共7层) | 2010年 | 板塔结合,11人关注 / 一年前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106113841045.html
11,清华逸景 2室2厅 南,"['清华逸景 ', '青白江']",45,"4,459元/平",2室2厅 | 100.92平米 | 南 | 其他 | 中楼层(共17层)  | 塔楼,0人关注 / 27天以前发布,"['VR看装修', '房本满两年']",https://cd.lianjia.com/ershoufang/106118041367.html
12,茶花新城 3室2厅 东南,"['茶花新城 ', '青白江']",36,"3,377元/平",3室2厅 | 106.63平米 | 东南 | 其他 | 中楼层(共6层) | 2016年 | 板楼,3人关注 / 1个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117682663.html
13,交大怡家 3室2厅 南,"['交大怡家 ', '青白江']",41.8,"3,813元/平",3室2厅 | 109.64平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 16天以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106118185897.html
14,听湖九园 4室2厅 东南,"['听湖九园 ', '青白江']",86.5,"7,338元/平",4室2厅 | 117.89平米 | 东南 | 其他 | 中楼层(共33层) | 2021年 | 板塔结合,2人关注 / 8个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106115418409.html
15,美的新城公园天下 3室1厅 西南,"['美的新城公园天下 ', '青白江']",62,"6,481元/平",3室1厅 | 95.67平米 | 西南 | 精装 | 低楼层(共33层) | 2021年 | 板塔结合,1人关注 / 6个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116025207.html
16,凤凰1号•栖云湖 4室2厅 南,"['凤凰1号•栖云湖 ', '青白江']",112,"8,074元/平",4室2厅 | 138.73平米 | 南 | 其他 | 高楼层(共26层) | 2022年 | 暂无数据,1人关注 / 4个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106116970738.html
17,天府欧城 2室1厅 南,"['天府欧城 ', '青白江']",37.8,"5,905元/平",2室1厅 | 64.02平米 | 南 | 简装 | 低楼层(共26层) | 2015年 | 塔楼,13人关注 / 一年前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106110742922.html
18,城埝小区 2室1厅 东 东南 南 西南 北 东北,"['城埝小区 ', '青白江']",19,"2,644元/平",2室1厅 | 71.87平米 | 东 东南 南 西南 北 | 精装 | 高楼层(共6层) | 2012年 | 板塔结合,1人关注 / 19天以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106118153579.html
19,尚林幸福城 3室1厅 东南 南,"['尚林幸福城 ', '青白江']",69,"7,422元/平",3室1厅 | 92.97平米 | 东南 南 | 毛坯 | 高楼层(共26层) | 2016年 | 板塔结合,1人关注 / 13天以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106118213717.html
20,团结花园 3室2厅 南,"['团结花园 ', '青白江']",39.9,"3,287元/平",3室2厅 | 121.4平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,"['VR房源', '房本满五年']",https://cd.lianjia.com/ershoufang/106117951772.html
