,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,锦红苑 2室1厅 东南,"['锦红苑 ', '府南新区']",76.8,"10,478元/平",2室1厅 | 73.3平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,7人关注 / 4个月以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116666837.html
1,王家塘街11号 3室1厅 东北,"['王家塘街11号 ', '八宝街']",120,"17,131元/平",3室1厅 | 70.05平米 | 东北 | 毛坯 | 中楼层(共7层)  | 板楼,4人关注 / 30天以前发布,"['近地铁', 'VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106118009093.html
2,铸信境界 3室2厅 西,"['铸信境界 ', '贝森']",265,"18,399元/平",3室2厅 | 144.03平米 | 西 | 精装 | 中楼层(共27层)  | 板塔结合,4人关注 / 29天以前发布,"['VR房源', '房本满五年']",https://cd.lianjia.com/ershoufang/106118017242.html
3,恒大翡翠华庭 3室2厅 南 北,"['恒大翡翠华庭 ', '万家湾']",345,"28,138元/平",3室2厅 | 122.61平米 | 南 北 | 精装 | 中楼层(共22层)  | 塔楼,5人关注 / 一年前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106114146865.html
4,龙湖西府琅悦 4室2厅 东南,"['龙湖西府琅悦 ', '外光华']",480,"28,518元/平",4室2厅 | 168.32平米 | 东南 | 毛坯 | 低楼层(共16层) | 2021年 | 板楼,4人关注 / 2个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106117512545.html
5,清河阳光 2室1厅 南,"['清河阳光 ', '万家湾']",108,"12,301元/平",2室1厅 | 87.8平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,15人关注 / 6个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116219160.html
6,紫云金沙 2室1厅 西南,"['紫云金沙 ', '贝森']",175,"20,295元/平",2室1厅 | 86.23平米 | 西南 | 精装 | 高楼层(共31层)  | 板塔结合,458人关注 / 5个月以前发布,"['近地铁', 'VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116480055.html
7,金鹏街176号院 1室1厅 东南,"['金鹏街176号院 ', '金沙']",69,"15,125元/平",1室1厅 | 45.62平米 | 东南 | 毛坯 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106110466148.html
8,金沙城锦西观棠 4室2厅 东南,"['金沙城锦西观棠 ', '外金沙']",450,"29,851元/平",4室2厅 | 150.75平米 | 东南 | 精装 | 高楼层(共21层) | 2018年 | 塔楼,1人关注 / 3个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117165903.html
9,保利贝森公馆 2室2厅 南,"['保利贝森公馆 ', '贝森']",300,"34,428元/平",2室2厅 | 87.14平米 | 南 | 精装 | 高楼层(共19层)  | 板楼,14人关注 / 一年前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106111357670.html
10,俊发时光俊园 3室1厅 北,"['俊发时光俊园 ', '外光华']",193,"22,531元/平",3室1厅 | 85.66平米 | 北 | 精装 | 高楼层(共21层)  | 板塔结合,3人关注 / 7个月以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106115727184.html
11,凯德风尚 2室1厅 西南 西,"['凯德风尚 ', '外光华']",169,"20,668元/平",2室1厅 | 81.77平米 | 西南 西 | 精装 | 低楼层(共19层)  | 板塔结合,3人关注 / 6个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116036212.html
12,心灵家园 2室1厅 南,"['心灵家园 ', '外光华']",136,"16,280元/平",2室1厅 | 83.54平米 | 南 | 精装 | 中楼层(共20层)  | 塔楼,6人关注 / 5个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116406575.html
13,双顺路4号 2室1厅 南,"['双顺路4号 ', '府南新区']",78,"12,064元/平",2室1厅 | 64.66平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,8人关注 / 9个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106115175061.html
