,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,桐梓林小区 3室2厅 南,"['桐梓林小区 ', '紫荆']",86,"10,316元/平",3室2厅 | 83.37平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,66人关注 / 一年前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106114225442.html
1,建发鹭洲国际 3室2厅 东,"['建发鹭洲国际 ', '大源']",348,"35,109元/平",3室2厅 | 99.12平米 | 东 | 简装 | 高楼层(共31层)  | 板塔结合,0人关注 / 9个月以前发布,"['近地铁', 'VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115146704.html
2,中国华商金融中心 1室2厅 东,"['中国华商金融中心 ', '金融城']",300,"26,131元/平",1室2厅 | 114.81平米 | 东 | 精装 | 低楼层(共42层) | 2018年 | 塔楼,2人关注 / 一年前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106112814453.html
3,万科金域名邸一期 3室2厅 南,"['万科金域名邸一期 ', '大源']",350,"31,732元/平",3室2厅 | 110.3平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,25人关注 / 一年前发布,"['VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106113495746.html
4,银都花园皓苑四期 3室2厅 东南,"['银都花园皓苑四期 ', '紫荆']",220,"17,024元/平",3室2厅 | 129.23平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 1个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117782873.html
5,宸光和悦三期 4室2厅 南,"['宸光和悦三期 ', '广都']",690,"20,606元/平",4室2厅 | 334.87平米 | 南 | 毛坯 | 低楼层(共6层) | 2019年 | 板塔结合,2人关注 / 8个月以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115424227.html
6,逸都国际 2室2厅 北,"['逸都国际 ', '大源']",225,"25,630元/平",2室2厅 | 87.79平米 | 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 31天以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117979990.html
7,华润凤凰城三期 3室1厅 北,"['华润凤凰城三期 ', '大源']",295,"34,625元/平",3室1厅 | 85.2平米 | 北 | 精装 | 中楼层(共31层)  | 塔楼,9人关注 / 一年前发布,"['VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106113748735.html
8,朗基和今缘 4室2厅 南,"['朗基和今缘 ', '远大']",335,"26,347元/平",4室2厅 | 127.15平米 | 南 | 精装 | 低楼层(共32层) | 2019年 | 塔楼,6人关注 / 10个月以前发布,"['VR房源', '随时看房']",https://cd.lianjia.com/ershoufang/106114899087.html
9,一环路南三段80号 2室1厅 南 北,"['一环路南三段80号 ', '芳草']",122,"11,245元/平",2室1厅 | 108.5平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,47人关注 / 10个月以前发布,"['VR房源', '房本满两年']",https://cd.lianjia.com/ershoufang/106114773568.html
