,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,上锦颐园 3室2厅 东南,"['上锦颐园 ', '高新西']",76.5,"8,691元/平",3室2厅 | 88.03平米 | 东南 | 精装 | 高楼层(共27层)  | 板塔结合,8人关注 / 4个月以前发布,"['近地铁', 'VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116647349.html
1,时代睿城 3室1厅 西北,"['时代睿城 ', '高新西']",80,"10,674元/平",3室1厅 | 74.95平米 | 西北 | 简装 | 高楼层(共28层) | 2016年 | 塔楼,0人关注 / 5个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116301976.html
2,龙湖时代天街 2室1厅 南,"['龙湖时代天街 ', '高新西']",108,"15,250元/平",2室1厅 | 70.82平米 | 南 | 其他 | 中楼层(共29层)  | 板塔结合,1人关注 / 1个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117589481.html
3,时代睿城 3室2厅 东南,"['时代睿城 ', '高新西']",84,"11,217元/平",3室2厅 | 74.89平米 | 东南 | 简装 | 高楼层(共28层)  | 塔楼,1人关注 / 1个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117832388.html
4,天骄苑 1室1厅 南,"['天骄苑 ', '高新西']",64.5,"13,922元/平",1室1厅 | 46.33平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,4人关注 / 1个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117626076.html
5,八里苑 1室1厅 东南,"['八里苑 ', '高新西']",30.6,"7,524元/平",1室1厅 | 40.67平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 10天以前发布,"['VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106118265377.html
6,芙华金色海伦 3室2厅 东南,"['芙华金色海伦 ', '高新西']",115,"10,236元/平",3室2厅 | 112.35平米 | 东南 | 精装 | 中楼层(共10层)  | 板楼,0人关注 / 11个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106114578090.html
7,时代睿城 3室1厅 西北,"['时代睿城 ', '高新西']",89.9,"9,935元/平",3室1厅 | 90.49平米 | 西北 | 毛坯 | 中楼层(共28层)  | 塔楼,0人关注 / 一年前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106112281791.html
8,龙湖时代天街 2室2厅 北,"['龙湖时代天街 ', '高新西']",115,"17,188元/平",2室2厅 | 66.91平米 | 北 | 精装 | 中楼层(共29层) | 2017年 | 塔楼,1人关注 / 28天以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106118027012.html
9,万景峰一期 3室2厅 东南,"['万景峰一期 ', '高新西']",95,"11,069元/平",3室2厅 | 85.83平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 24天以前发布,"['近地铁', 'VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106118073772.html
10,万景峰一期 3室2厅 东南,"['万景峰一期 ', '高新西']",106,"12,332元/平",3室2厅 | 85.96平米 | 东南 | 简装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117426706.html
11,万景峰二期 3室2厅 西北,"['万景峰二期 ', '高新西']",88,"11,639元/平",3室2厅 | 75.61平米 | 西北 | 精装 | 低楼层(共33层)  | 塔楼,4人关注 / 一年前发布,"['近地铁', 'VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106113644581.html
12,恒大帝景 2室1厅 南,"['恒大帝景 ', '高新西']",77,"8,636元/平",2室1厅 | 89.17平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,1人关注 / 1个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117910791.html
13,时代睿城 3室2厅 东南,"['时代睿城 ', '高新西']",85,"11,885元/平",3室2厅 | 71.52平米 | 东南 | 精装 | 中楼层(共26层)  | 塔楼,7人关注 / 3个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117182355.html
14,上锦颐园佳境 3室1厅 西南,"['上锦颐园佳境 ', '高新西']",80,"8,769元/平",3室1厅 | 91.24平米 | 西南 | 简装 | 低楼层(共26层)  | 板塔结合,6人关注 / 一年前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106112441306.html
15,中房学府海棠一期 2室2厅 南,"['中房学府海棠一期 ', '高新西']",102,"12,254元/平",2室2厅 | 83.24平米 | 南 | 简装 | 高楼层(共27层)  | 塔楼,0人关注 / 3个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117149333.html
