,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,世茂城二期 4室2厅 东南,"['世茂城二期 ', '大面']",160,"15,215元/平",4室2厅 | 105.16平米 | 东南 | 精装 | 高楼层(共18层)  | 板塔结合,3人关注 / 8个月以前发布,"['VR看装修', '房本满五年']",https://cd.lianjia.com/ershoufang/106115463140.html
1,金上城 3室1厅 东,"['金上城 ', '龙泉驿城区']",89,"9,926元/平",3室1厅 | 89.67平米 | 东 | 简装 | 中楼层(共18层)  | 板塔结合,7人关注 / 10个月以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106114790150.html
2,三盛都会城 3室2厅 南,"['三盛都会城 ', '东山']",70,"8,371元/平",3室2厅 | 83.63平米 | 南 | 毛坯 | 低楼层(共33层) | 2020年 | 板塔结合,1人关注 / 1个月以前发布,"['VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106117761746.html
3,昊园江南壹品 3室1厅 东南,"['昊园江南壹品 ', '西河']",99,"10,731元/平",3室1厅 | 92.26平米 | 东南 | 精装 | 中楼层(共29层)  | 塔楼,1人关注 / 3个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117127152.html
4,锦上城 2室2厅 东南,"['锦上城 ', '龙泉驿城区']",76,"8,589元/平",2室2厅 | 88.49平米 | 东南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 5个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116314959.html
5,天立广场 2室2厅 东,"['天立广场 ', '龙泉驿城区']",73,"9,690元/平",2室2厅 | 75.34平米 | 东 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117445350.html
6,驿都城 3室2厅 东南,"['驿都城 ', '东安湖']",95,"12,119元/平",3室2厅 | 78.39平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,4人关注 / 5个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116565391.html
7,香槟城 2室1厅 西,"['香槟城 ', '西河']",65,"10,371元/平",2室1厅 | 62.68平米 | 西 | 毛坯 | 高楼层(共32层) | 2020年 | 板塔结合,14人关注 / 一年前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106110304740.html
8,龙府花园 4室2厅 东,"['龙府花园 ', '龙泉驿城区']",138,"7,603元/平",4室2厅 | 181.51平米 | 东 | 毛坯 | 高楼层(共6层)  | 板楼,3人关注 / 1个月以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117846024.html
9,首创东公元 2室1厅 东南,"['首创东公元 ', '东安湖']",85,"10,679元/平",2室1厅 | 79.6平米 | 东南 | 简装 | 低楼层(共34层)  | 塔楼,10人关注 / 8个月以前发布,"['VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106115279891.html
10,龙城1号 4室1厅 南,"['龙城1号 ', '大面']",370,"20,205元/平",4室1厅 | 183.13平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,5人关注 / 29天以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106118023309.html
11,驿都城 3室2厅 东北,"['驿都城 ', '东安湖']",99.8,"12,554元/平",3室2厅 | 79.5平米 | 东北 | 简装 | 中楼层(共32层)  | 塔楼,3人关注 / 4个月以前发布,"['近地铁', 'VR看装修', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106116603243.html
12,华府幸福城 3室2厅 东,"['华府幸福城 ', '阳光城']",63.5,"8,927元/平",3室2厅 | 71.14平米 | 东 | 精装 | 中楼层(共34层)  | 暂无数据,1人关注 / 3个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117255144.html
13,华府幸福城A区 3室2厅 东南,"['华府幸福城A区 ', '阳光城']",56,"7,506元/平",3室2厅 | 74.61平米 | 东南 | 毛坯 | 低楼层(共34层)  | 塔楼,1人关注 / 3个月以前发布,"['VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106117148659.html
14,新城吾悦广场 3室2厅 东北,"['新城吾悦广场 ', '东安湖']",124,"15,535元/平",3室2厅 | 79.82平米 | 东北 | 精装 | 低楼层(共34层)  | 板塔结合,1人关注 / 6个月以前发布,"['近地铁', 'VR房源', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106116122856.html
15,首开龙湖景粼玖序一期 3室2厅 南,"['首开龙湖景粼玖序一期 ', '十陵']",225,"19,956元/平",3室2厅 | 112.75平米 | 南 | 精装 | 高楼层(共11层) | 2020年 | 板楼,0人关注 / 18天以前发布,"['VR看装修', '房本满两年']",https://cd.lianjia.com/ershoufang/106118158523.html
16,怡和新城E区 2室2厅 东北,"['怡和新城E区 ', '龙泉驿城区']",64,"8,504元/平",2室2厅 | 75.26平米 | 东北 | 简装 | 中楼层(共26层)  | 塔楼,4人关注 / 25天以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106118066482.html
17,皇冠湖壹号 3室1厅 东南,"['皇冠湖壹号 ', '东安湖']",139,"15,573元/平",3室1厅 | 89.26平米 | 东南 | 简装 | 低楼层(共33层)  | 塔楼,7人关注 / 7个月以前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106115818838.html
18,怡和新城C区 2室1厅 北,"['怡和新城C区 ', '龙泉驿城区']",65,"8,943元/平",2室1厅 | 72.69平米 | 北 | 简装 | 低楼层(共6层)  | 暂无数据,5人关注 / 2个月以前发布,"['近地铁', 'VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106117485780.html
19,世纪苑二期 3室2厅 东南,"['世纪苑二期 ', '龙泉驿城区']",88,"7,210元/平",3室2厅 | 122.06平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,"['VR房源', '房本满五年', '随时看房']",https://cd.lianjia.com/ershoufang/106117627471.html
20,林溪康城B区 3室2厅 东南 南,"['林溪康城B区 ', '阳光城']",65,"7,170元/平",3室2厅 | 90.66平米 | 东南 南 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 一年前发布,"['VR看装修', '房本满两年', '随时看房']",https://cd.lianjia.com/ershoufang/106114263656.html
21,怡和新城F区 1室1厅 西南,"['怡和新城F区 ', '龙泉驿城区']",38.8,"9,096元/平",1室1厅 | 42.66平米 | 西南 | 精装 | 高楼层(共23层)  | 塔楼,6人关注 / 6个月以前发布,"['近地铁', 'VR看装修', '随时看房']",https://cd.lianjia.com/ershoufang/106116128205.html
